seed,dimension,fw_iterations,all_secant_iter,average_secant_iter
1,100,317,928,2.9274447949526814
2,100,342,974,2.847953216374269
3,100,292,853,2.921232876712329
4,100,327,938,2.8685015290519877
5,100,317,917,2.892744479495268
6,100,347,977,2.8155619596541785
7,100,363,1031,2.840220385674931
8,100,322,933,2.8975155279503104
9,100,322,935,2.9037267080745344
10,100,312,884,2.8333333333333335
1,200,657,1860,2.8310502283105023
2,200,628,1792,2.8535031847133756
3,200,595,1701,2.8588235294117648
4,200,584,1681,2.8784246575342465
5,200,663,1906,2.874811463046757
6,200,602,1742,2.893687707641196
7,200,613,1774,2.8939641109298533
8,200,654,1852,2.831804281345566
9,200,564,1632,2.893617021276596
10,200,625,1790,2.864
1,300,871,2508,2.8794489092996556
2,300,854,2472,2.8946135831381734
3,300,846,2442,2.8865248226950353
4,300,819,2378,2.9035409035409034
5,300,910,2623,2.8824175824175824
6,300,841,2461,2.92627824019025
7,300,953,2711,2.844700944386149
8,300,813,2356,2.8979089790897907
9,300,930,2649,2.8483870967741933
10,300,908,2579,2.840308370044053
1,400,1062,3085,2.9048964218455744
2,400,1196,3394,2.8377926421404682
3,400,1099,3162,2.8771610555050047
4,400,1096,3173,2.89507299270073
5,400,1090,3194,2.930275229357798
6,400,1157,3288,2.8418323249783923
7,400,1196,3395,2.838628762541806
8,400,1082,3124,2.8872458410351203
9,400,1061,3096,2.918001885014138
10,400,1146,3274,2.856893542757417
1,500,1410,4010,2.8439716312056738
2,500,1413,4026,2.849256900212314
3,500,1393,3945,2.8320172290021537
4,500,1401,4011,2.862955032119914
5,500,1470,4155,2.826530612244898
6,500,1370,3938,2.8744525547445257
7,500,1332,3847,2.8881381381381384
8,500,1370,3898,2.845255474452555
9,500,1374,3931,2.86098981077147
10,500,1403,4012,2.859586600142552
