seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,average_iter,std_iter,time,fw_time
1,10000,0.31826945981170157,9.551744757640979e-8,9.551744758334868e-8,18412,NaN,NaN,207.022129071,206.974101818
2,10000,0.32098593176690626,1.012983137302359e-7,9.665601765490583e-8,19267,NaN,NaN,210.558803928,210.544804422
3,10000,0.31836327671668047,1.0170661607702969e-7,9.502336052388816e-8,17353,NaN,NaN,196.724225021,196.711022084
4,10000,0.31569086096282856,1.1423477853933495e-7,9.869053643057901e-8,17154,NaN,NaN,198.497341491,198.483422161
5,10000,0.3169835234778316,9.53125168928759e-8,9.53125168928759e-8,19501,NaN,NaN,220.291629844,220.277552878
1,40000,0.32588735074588415,9.93105805195682e-8,9.93105805195682e-8,19374,NaN,NaN,1960.783045315,1960.681071375
2,40000,0.32409598818344426,1.0386808571398454e-7,9.895203997335733e-8,18615,NaN,NaN,1898.558759284,1898.484456793
3,40000,0.3255535399867815,1.0285107480099975e-7,9.783480944478007e-8,18314,NaN,NaN,1803.220141227,1803.149095464
4,40000,0.32474095643809253,9.665275030323883e-8,9.665275030323883e-8,20454,NaN,NaN,2053.442633638,2053.370986559
5,40000,0.3252702115205063,9.702058866023489e-8,9.702058865850016e-8,19353,NaN,NaN,1926.844197392,1926.783712038
1,90000,0.32760325296049875,2.437570003838499e-7,2.4430529170851867e-7,11693,NaN,NaN,3602.233091448,3602.05774343
2,90000,0.3264948140589496,2.1901944240003413e-7,2.1916466494149162e-7,12076,NaN,NaN,3600.871727791,3600.746421228
3,90000,0.32782377382778927,2.1917400035067341e-7,2.1844548314491063e-7,11847,NaN,NaN,3601.048397135,3600.909576287
4,90000,0.32731901984714085,2.254415325583098e-7,2.2449298260011213e-7,12046,NaN,NaN,3600.930478479,3600.794698405
5,90000,0.3279262802089978,2.2639680251693162e-7,2.2581150873300648e-7,12635,NaN,NaN,3600.849204987,3600.712700504
1,160000,0.32868325820421146,3.732964558482779e-7,3.710155938238535e-7,4942,NaN,NaN,3603.831069673,3603.498914688
2,160000,0.3286442188262389,3.4782475610058844e-7,3.4909530737415456e-7,5080,NaN,NaN,3601.985928237,3601.742026088
3,160000,0.32952966115237525,3.4034350765953236e-7,3.3731970803651395e-7,4887,NaN,NaN,3602.850044751,3602.603280765
4,160000,0.3285383526670572,3.8555574009661864e-7,3.870492604118522e-7,5141,NaN,NaN,3602.66723208,3602.436307818
5,160000,0.32913803179537127,3.37617922198212e-7,3.3719604812434273e-7,4933,NaN,NaN,3602.347751051,3602.116492001
1,250000,0.3293069008923143,4.697011317328706e-7,4.706339415835002e-7,2752,NaN,NaN,3606.030904135,3605.676463093
2,250000,0.32949053675644685,4.732985321273704e-7,4.721329216715586e-7,2612,NaN,NaN,3605.367326322,3605.030556388
3,250000,0.33016114232868127,4.828153106267372e-7,4.808854499331779e-7,2573,NaN,NaN,3604.331673268,3604.004069537
4,250000,0.3296112721696636,4.603205373330914e-7,4.55530723072594e-7,2749,NaN,NaN,3605.228380915,3604.909237349
5,250000,0.32979967681991296,5.158368139314938e-7,5.16089258262558e-7,2510,NaN,NaN,3604.613087306,3604.286372003
1,360000,0.32979902744690837,5.510906023738042e-7,5.507073466979109e-7,1693,NaN,NaN,3609.613347133,3609.22741429
2,360000,0.3304484937616834,5.792299464500196e-7,5.802852540729916e-7,1641,NaN,NaN,3607.368140414,3607.03613168
3,360000,0.33043932447495783,5.591880948307461e-7,5.571375623881179e-7,1736,NaN,NaN,3607.551048725,3607.229990924
4,360000,0.33037965106275985,5.306114711574501e-7,5.276193122630973e-7,1755,NaN,NaN,3606.535052785,3606.214330121
5,360000,0.3301402719625385,5.223240501892219e-7,5.534929607832299e-7,1786,NaN,NaN,3607.349482271,3607.01029496
1,490000,0.33042315566954295,6.698166050539932e-7,6.696788364601511e-7,1161,NaN,NaN,3612.024534688,3611.532676272
2,490000,0.3306004285888463,6.876270793603097e-7,6.841230260254925e-7,1115,NaN,NaN,3611.758926624,3611.297671653
3,490000,0.3308165211909175,5.43873411769976e-7,5.768445354797057e-7,1275,NaN,NaN,3612.395551371,3611.932701605
4,490000,0.33030954266171525,6.223491857866581e-7,6.244525622956486e-7,1272,NaN,NaN,3607.969759205,3607.568003145
5,490000,0.33061544606057186,6.635203202492654e-7,6.622117820244411e-7,1165,NaN,NaN,3611.976355928,3611.549987562
1,640000,0.3310297245014796,7.462745411274986e-7,7.442793381428996e-7,844,NaN,NaN,3619.453258384,3618.844431137
2,640000,0.33069026865203643,6.991718814659299e-7,7.019548425237117e-7,889,NaN,NaN,3617.907479058,3617.284027529
3,640000,0.33119398433672737,6.894942609983468e-7,6.86355229867399e-7,863,NaN,NaN,3616.728507257,3616.156897263
4,640000,0.33097018570091946,7.13804753330223e-7,7.121861408934324e-7,924,NaN,NaN,3614.054876551,3613.462616625
5,640000,0.3307795159261176,6.721392794679058e-7,6.653036480949032e-7,926,NaN,NaN,3615.748309296,3615.105554958
1,810000,0.33121948980249316,7.592166764722533e-7,7.550528217104002e-7,693,NaN,NaN,3620.147462758,3619.363884796
2,810000,0.330861571243909,8.389519024140646e-7,8.386523886417738e-7,650,NaN,NaN,3617.343455942,3616.488128222
3,810000,0.33138757736170554,7.281643246742804e-7,7.693615392107521e-7,690,NaN,NaN,3618.588076512,3617.820640807
4,810000,0.3313745896682972,7.480085510826531e-7,7.412675529327832e-7,666,NaN,NaN,3618.031394205,3617.248308818
5,810000,0.33094213961823005,7.975299159712103e-7,7.952138984038126e-7,655,NaN,NaN,3619.83879868,3619.067991061
1,1000000,0.3312575179440087,7.759794860067934e-7,7.684071527743353e-7,575,NaN,NaN,3626.361750728,3625.253356356
2,1000000,0.33085094185652547,8.164751532527357e-7,8.199434852107414e-7,553,NaN,NaN,3625.442779547,3624.458474336
3,1000000,0.331319244988242,7.516759528381975e-7,7.441983346349618e-7,570,NaN,NaN,3628.284545231,3627.325089754
4,1000000,0.3317396209324501,8.09158659806266e-7,8.060337876756793e-7,553,NaN,NaN,3629.176818282,3628.219373723
5,1000000,0.3311030762826266,8.088828938200478e-7,8.052099178734382e-7,540,NaN,NaN,3626.145497332,3625.147581869
