seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,2500,0.3108024346743267,9.673990376823927e-8,9.673990376823927e-8,7119,11.312755799,11.309663275
2,2500,0.29954185874683875,9.3868498592109e-8,9.3868498592109e-8,7196,11.765851809,11.763666042
3,2500,0.30375131828994734,1.0279703127613615e-7,9.247744742202357e-8,6559,10.476234425,10.473263939
4,2500,0.29498176636103146,1.0253120990427744e-7,9.733113400661741e-8,6989,10.148490326,10.145468175
5,2500,0.3080737013839004,1.0617089846870487e-7,9.72008359564902e-8,6959,9.801684248,9.798547341
1,10000,0.31826945973492404,9.725150109177183e-8,9.725150109177183e-8,14342,139.493653877,139.490354922
2,10000,0.32098593166886313,9.849557808944143e-8,9.849557808944143e-8,13841,133.656832035,133.653550587
3,10000,0.3183632766600766,9.74615567798931e-8,9.74615567798931e-8,13827,135.490320784,135.487270452
4,10000,0.31569086084964,9.802355030105736e-8,9.802355030105736e-8,12210,116.219152126,116.215907078
5,10000,0.3169835233486632,9.534347628764595e-8,9.534347628070705e-8,13613,127.991991454,127.988785827
1,22500,0.3224433202260785,9.948221869893192e-8,9.948221870240137e-8,17330,591.874554051,591.852861027
2,22500,0.3229820216194215,9.925391205971301e-8,9.925391205971301e-8,16490,584.470246539,584.419196216
3,22500,0.32286053603160597,9.95375110598995e-8,9.95375110598995e-8,14912,520.041187447,520.011579943
4,22500,0.321021601761167,9.876015602539034e-8,9.876015602539034e-8,15156,505.874021358,505.841935542
5,22500,0.32220749803540893,9.819859254564522e-8,9.819859254564522e-8,14222,491.381511087,491.368338053
1,40000,0.3258873501874757,1.0567788030942105e-7,9.929328278687755e-8,13458,1246.804037524,1246.790354388
2,40000,0.32409598779730847,9.768988090685937e-8,9.768988090685937e-8,14623,1347.3260464,1347.307492873
3,40000,0.3255535398867052,1.0948048745351713e-7,9.937021335816587e-8,13533,1209.079260288,1209.064134814
4,40000,0.3247409557458599,9.788733239951553e-8,9.788733240125025e-8,13242,1203.623401214,1203.592215986
5,40000,0.3252702110130883,9.896375388271372e-8,9.896375388271372e-8,13674,1244.370174602,1244.34812419
1,62500,0.3272864705705765,9.904285191292272e-8,9.904285191292272e-8,10754,2052.904790105,2052.885665731
2,62500,0.3246658882819989,9.98445939407247e-8,9.984459393812262e-8,12903,2452.376260003,2452.355192387
3,62500,0.32780743514430016,9.909431724405143e-8,9.909431724405143e-8,11571,2252.114273104,2252.097127838
4,62500,0.3268898712803869,9.92894734746369e-8,9.92894734746369e-8,11040,2087.907027884,2087.890122985
5,62500,0.3270616290030456,9.984029916958875e-8,9.984029916958875e-8,11479,2134.624923931,2134.60728691
1,90000,0.3276032513555153,2.1820872857323398e-7,2.152869693983553e-7,10263,3601.064666304,3601.038562721
2,90000,0.32649481258557816,2.0257133247648246e-7,2.028993467528134e-7,10602,3601.005272586,3600.978577762
3,90000,0.3278237726456441,1.9200402603079814e-7,1.9131560706486805e-7,10237,3601.079270644,3601.047576371
4,90000,0.32731901852035733,1.9105080787448075e-7,1.899581257994512e-7,10221,3600.873509018,3600.836779533
5,90000,0.32792627937887614,1.87302044420308e-7,1.880812374932192e-7,10669,3600.974195825,3600.948138365
