seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,10000,0.318269459741185,1.0361345879894568e-7,9.726669675594324e-8,14645,162.011434976,161.975451454
2,10000,0.3209859316297547,1.044186577515982e-7,9.569919207086386e-8,14946,161.285319597,161.272429533
3,10000,0.3183632766772775,1.0179531126711105e-7,9.804541795110921e-8,13588,133.753551719,133.740379192
4,10000,0.3156908608949556,1.0458100640695078e-7,9.832960037869931e-8,13270,143.192827029,143.179009686
5,10000,0.3169835233398958,9.959310968282731e-8,9.959310968282731e-8,13301,141.590828159,141.577065584
1,40000,0.32588735018450044,9.985938010520501e-8,9.985938010520501e-8,14871,1407.299077785,1407.202268092
2,40000,0.32409598786001037,9.890944228062304e-8,9.890944228062304e-8,15159,1417.096655654,1417.031498912
3,40000,0.32555353980575646,9.884085331104964e-8,9.884085331104964e-8,14014,1274.817020283,1274.743278062
4,40000,0.3247409559336351,1.047155254868537e-7,9.586549619237938e-8,15821,1450.419893654,1450.350305456
5,40000,0.3252702113307218,1.0650352239190142e-7,9.816743476963319e-8,14964,1376.237936272,1376.171859294
1,90000,0.32760325086789,1.4901264909755046e-7,1.5145947928479897e-7,11614,3602.13294794,3601.970105834
2,90000,0.3264948128072373,9.820380798310213e-8,9.820380798310213e-8,11696,3513.02552194,3512.904596857
3,90000,0.3278237727141313,9.995031288994455e-8,9.995031289167927e-8,11237,3478.810227014,3478.668961209
4,90000,0.327319018258631,9.891199116707217e-8,9.891199116707217e-8,10869,3301.793924863,3301.641075301
5,90000,0.3279262790945658,9.923012771282519e-8,9.92301277102231e-8,11279,3338.468151573,3338.320617564
1,160000,0.32868325534121023,3.1994995867978826e-7,3.206414739293645e-7,4707,3603.132620629,3602.835064912
2,160000,0.3286442175051239,3.1054247592518514e-7,3.1023978142811354e-7,4620,3602.756554164,3602.506491191
3,160000,0.32952965973585535,3.4069841421853486e-7,3.3829032459326003e-7,4530,3602.783767549,3602.504826598
4,160000,0.3285383498181695,3.0493612566701717e-7,3.0192343253038906e-7,4673,3602.769853715,3602.523390686
5,160000,0.3291380303400476,3.281102712261383e-7,3.303667316578371e-7,4452,3602.752241518,3602.460644835
1,250000,0.3293068992547131,4.1249047922839455e-7,4.130273690613334e-7,2633,3605.014274833,3604.621672987
2,250000,0.3294905340543918,3.980797282040517e-7,3.972445124194972e-7,2516,3604.682652471,3604.311460572
3,250000,0.3301611398698541,4.393453059991538e-7,4.423473217848514e-7,2496,3604.947440438,3604.585177047
4,250000,0.3296112693180232,3.711721093023826e-7,3.719387122085374e-7,2675,3605.664025515,3605.363975974
5,250000,0.32979967480147027,4.5623913938431723e-7,4.5176113548260274e-7,2186,3604.431288275,3604.060423534
1,360000,0.32979902453385235,4.8582101969466e-7,4.829468960823764e-7,1613,3607.509054497,3607.07814726
2,360000,0.3304484902302268,4.689601810592241e-7,4.6724659907891944e-7,1564,3606.335315149,3605.955859191
3,360000,0.33043932197650533,4.6513070820711905e-7,4.6575513097538504e-7,1655,3606.439887047,3606.087327639
4,360000,0.33037964864991654,4.802597573880935e-7,4.793617076480523e-7,1610,3608.508605474,3608.153795408
5,360000,0.33014027063734225,5.689380498069378e-7,5.66497502402577e-7,1471,3609.701385044,3609.232280391
1,490000,0.33042315424324964,5.987785488639243e-7,5.946604871862396e-7,947,3618.003997383,3617.454546203
2,490000,0.3306004267506248,6.173158490726562e-7,6.133932216167287e-7,916,3612.864592712,3612.304495285
3,490000,0.3308165199232302,5.924455918752437e-7,5.949908988573532e-7,1044,3611.932403922,3611.360469947
4,490000,0.33030954131556095,5.852911202147357e-7,5.823047887604758e-7,1046,3611.767051742,3611.250755263
5,490000,0.33061544423676986,6.549224711846144e-7,6.510210477455279e-7,942,3615.62312192,3615.068558458
1,640000,0.33102972219683796,6.955285403943863e-7,6.95642300508996e-7,700,3618.99714965,3618.323044461
2,640000,0.33069026649758576,6.662973285370861e-7,6.627541848649651e-7,753,3614.45629514,3613.728143186
3,640000,0.33119398279914464,6.759674619936581e-7,6.672612833085595e-7,697,3619.912967452,3619.160152132
4,640000,0.3309701845924655,7.0753372107598e-7,7.048143768140572e-7,749,3616.754963155,3616.04570237
5,640000,0.33077951380979664,6.357723558105162e-7,6.398963940138988e-7,763,3616.92137871,3616.135443084
1,810000,0.3312194862963775,6.013301991846486e-7,5.958965375017257e-7,622,3624.865667443,3624.056853737
2,810000,0.3308615672543474,6.902038737345399e-7,6.84011279267812e-7,571,3623.318443738,3622.377294803
3,810000,0.33138757432140975,6.403118237392411e-7,6.329478373667298e-7,606,3625.418192197,3624.490246334
4,810000,0.3313745867794666,7.441681524650474e-7,7.441152257373768e-7,575,3618.307555403,3617.340629337
5,810000,0.3309421360319121,6.690880478233893e-7,7.031250415664124e-7,581,3625.289006475,3624.382295641
1,1000000,0.33125751287246274,6.380029044924726e-7,6.351320418730103e-7,552,3623.379237247,3622.148946677
2,1000000,0.3308509375837769,6.619509238616796e-7,6.573866276405379e-7,523,3627.083017615,3626.03229256
3,1000000,0.33131924020134224,6.244115910505887e-7,6.215340973057901e-7,543,3628.137527805,3627.060359021
4,1000000,0.33173961644536876,6.926110894035255e-7,6.929631392691305e-7,517,3631.714635676,3630.593619702
5,1000000,0.33110307440619946,8.613354034853714e-7,8.587487810261807e-7,439,3631.269904556,3630.09623481
