seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,2500,0.31080243465309226,1.1499858715291467e-7,9.035649446015315e-8,4419,6.871215494,6.869089417
2,2500,0.29954185872672134,9.51982714880728e-8,9.519827150195059e-8,6794,10.940239978,10.938091822
3,2500,0.30375131827503177,9.445466731677898e-8,9.445466731677898e-8,4557,6.769646249,6.76762638
4,2500,0.2949817663324503,1.0958490068851967e-7,9.930185169287897e-8,5492,8.421092137,8.418938779
5,2500,0.3080737013640593,9.044771614313829e-8,9.044771614313829e-8,4492,6.881513849,6.879420809
1,10000,0.31826945962396697,1.171235095367984e-7,9.70909930474162e-8,9209,98.679711381,98.676359078
2,10000,0.32098593140958903,9.372979697941375e-8,9.372979697941375e-8,13316,145.397245829,145.394204214
3,10000,0.31836327652793817,9.544010634923716e-8,9.544010633882882e-8,8761,96.819180899,96.816239563
4,10000,0.31569086070530866,1.2143182716306544e-7,9.489456406427954e-8,7966,85.010315609,85.006910043
5,10000,0.31698352324938067,9.682599906926659e-8,9.682599906926659e-8,8968,93.083740287,93.080043857
1,22500,0.32244332022436895,9.667459400022893e-8,9.667459399675948e-8,13148,441.86089893,441.853069373
2,22500,0.3229820212838668,9.473074811736093e-8,9.473074811736093e-8,11810,406.919556625,406.887218598
3,22500,0.3228605357890845,9.795196154703534e-8,9.795196154703534e-8,11766,397.738118878,397.693732389
4,22500,0.32102160163758314,9.984759211968675e-8,9.984759211968675e-8,15588,522.63759163,522.601580295
5,22500,0.32220749817559285,9.992877204358097e-8,9.992877204184625e-8,18758,660.578829744,660.553829048
1,40000,0.32588735059388557,1.0576711593004995e-7,9.870151562729745e-8,20811,2004.612045312,2004.593629704
2,40000,0.32409598803115225,1.0749898613285347e-7,9.933459747292483e-8,16054,1487.394890738,1487.378105466
3,40000,0.3255535396765299,1.077838757690408e-7,9.679352167522859e-8,11361,1003.139768579,1003.124271941
4,40000,0.32474095622320265,1.0540198694571068e-7,9.956365672539325e-8,15194,1389.618088895,1389.569990514
5,40000,0.3252702114614321,1.077664221471597e-7,9.8638932050088e-8,14476,1319.588085845,1319.540655605
1,62500,0.32728647076877393,1.0761948425301593e-7,9.954796087192214e-8,16528,3357.151789285,3357.135524351
2,62500,0.3246658889077148,1.0481639482317479e-7,9.971585774540964e-8,14257,2860.277315849,2860.256840884
3,62500,0.3278074383089628,2.349726298924229e-7,2.3505608636158887e-7,17213,3600.535701628,3600.518586304
4,62500,0.32688987627354504,2.901878258668514e-7,2.901094404246171e-7,17690,3600.554539881,3600.504949668
5,62500,0.3270616295238425,1.0661964109596328e-7,9.900092593287391e-8,16202,3294.721135864,3294.694500403
1,90000,0.32760325632337933,3.0674290216886613e-7,3.075643263154501e-7,9932,3601.112202121,3601.085876528
2,90000,0.3264948161873173,2.6359268403327446e-7,2.625158599996874e-7,10670,3601.008218523,3600.981694221
3,90000,0.3278237769217392,2.714879671602069e-7,2.718653374818303e-7,10487,3600.904151064,3600.871581437
4,90000,0.32731902047339967,2.336729967786222e-7,2.3352293581496708e-7,10423,3601.132072617,3601.106459716
5,90000,0.32792628242871574,2.46960417622788e-7,2.4734676454165466e-7,11353,3600.758498778,3600.732996219
