seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,2500,0.3108024346756391,9.611244662643958e-8,9.611244662643958e-8,6435,0,0,2.8577867578489276,0.3492958614908281,Inf,Inf,10.504021705,10.501791189
2,2500,0.29954185874579636,1.0256752830395399e-7,9.546880247457423e-8,6549,0,0,2.842876775080165,0.3639446969653762,Inf,Inf,10.85680979,10.854587636
3,2500,0.3037513182895094,9.085359830435236e-8,9.085359829047457e-8,5934,0,0,2.8631383785605933,0.3437301734345309,Inf,Inf,9.849263526,9.846330797
4,2500,0.294981766347184,1.101826213809054e-7,9.931336541341151e-8,6121,0,0,2.8510047377879433,0.3561128926307094,Inf,Inf,10.369948159,10.367711715
5,2500,0.3080737013774329,9.02028197066751e-8,9.02028197066751e-8,6331,0,0,2.8559241706161136,0.35119434699827967,Inf,Inf,10.462312018,10.459138517
1,10000,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0,0,2.6744945567651635,0.4685816080818105,Inf,Inf,144.055228727,144.051095333
2,10000,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0,0,2.6661427224143353,0.4716079682058406,Inf,Inf,142.277833814,142.274795547
3,10000,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0,0,2.687443909602676,0.46355400132903646,Inf,Inf,140.599735677,140.596768883
4,10000,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0,0,2.667535126081697,0.4711184925779708,Inf,Inf,116.721872513,116.71868303
5,10000,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0,0,2.7050243111831445,0.45605128357781194,Inf,Inf,126.361323984,126.358015745
1,22500,0.32244332026241107,9.710618774534663e-8,9.710618774534663e-8,13717,0,0,2.5409011373578303,0.4983424557510187,Inf,Inf,508.529473048,508.520469593
2,22500,0.32298202163217266,9.923313395998612e-8,9.923313395998612e-8,14422,0,0,2.525899729561057,0.49934606689361033,Inf,Inf,553.128888398,553.102729853
3,22500,0.32286053604325793,9.795599969011914e-8,9.795599969011914e-8,13135,0,0,2.5512410537536168,0.49738635938175296,Inf,Inf,504.552704014,504.518249785
4,22500,0.32102160165096333,9.901843453161141e-8,9.901843453161141e-8,14491,0,0,2.5236024844720495,0.49945984698208173,Inf,Inf,538.376843778,538.370673089
5,22500,0.32220749800156495,1.0489854485734584e-7,9.646331467633162e-8,13412,0,0,2.5445869370712795,0.498026603928164,Inf,Inf,513.099049197,513.038780143
1,40000,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0,0,2.4689475963620615,0.49905643064844823,Inf,Inf,1146.584172122,1146.568351233
2,40000,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0,0,2.478287896279194,0.49955054316086434,Inf,Inf,1072.73502881,1072.693174747
3,40000,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0,0,2.483571191503485,0.49975075489768156,Inf,Inf,1125.435733084,1125.419229673
4,40000,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0,0,2.49842295561197,0.5000167461874866,Inf,Inf,1229.31379042,1229.297077994
5,40000,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0,0,2.485578128918987,0.49981286023276467,Inf,Inf,1118.621863385,1118.612331191
1,62500,0.3272864702564759,9.935752017659061e-8,9.935752017659061e-8,9401,0,0,2.441276595744681,0.49656600112454624,Inf,Inf,1852.369490108,1852.325268141
2,62500,0.32466588849942324,9.984386269926843e-8,9.984386269926843e-8,10900,0,0,2.468208092485549,0.49901114402532604,Inf,Inf,2131.447866331,2131.428505964
3,62500,0.3278074349774091,9.950173440916033e-8,9.950173441089505e-8,10849,0,0,2.4513274336283186,0.4976482801407018,Inf,Inf,2190.231032073,2190.210221156
4,62500,0.32688987166842526,9.987764969503904e-8,9.987764969330432e-8,9901,0,0,2.4524242424242426,0.4977565406026121,Inf,Inf,1921.661693276,1921.643008645
5,62500,0.32706162892916535,9.965960607802304e-8,9.965960607802304e-8,10309,0,0,2.4343228560341483,0.4956917889376146,Inf,Inf,2035.768062979,2035.742724198
1,90000,0.327603250631805,9.953186645185463e-8,9.953186645185463e-8,9436,0,0,2.401165871754107,0.49016046307756855,Inf,Inf,3491.045259687,3491.017158645
2,90000,0.3264948124289731,9.949251877135884e-8,9.949251877135884e-8,9154,0,0,2.392767398667104,0.4883924950454881,Inf,Inf,3268.873525347,3268.845089209
3,90000,0.3278237725338361,1.0778636496105304e-7,9.937169056801337e-8,9494,0,0,2.4340636191278704,0.4956594303466941,Inf,Inf,3491.694073743,3491.66109532
4,90000,0.3273190180137521,9.951957201988909e-8,9.951957201988909e-8,8611,0,0,2.399883855981417,0.4899026768750948,Inf,Inf,3106.682158449,3106.654368005
5,90000,0.3279262793663161,1.0814973360352004e-7,9.883157068776849e-8,9970,0,0,2.423370110330993,0.4941177478195755,Inf,Inf,3381.899328625,3381.871745472
