seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,average_iter,std_iter,time,fw_time
1,500,10.109248698195284,3.555717453807006e-8,7.724706596601294e-8,31,0.16129032258064516,0.373878250552983,0.020655692,0.018430763
2,500,10.259851374534307,4.424984834106027e-8,6.269418278970207e-8,25,0.16,0.37416573867739406,0.029298384,0.027004829
3,500,10.114708815219766,6.895666634920694e-8,7.661421139171232e-8,29,0.1724137931034483,0.3844258722192448,0.037917824,0.035909974
4,500,8.499158126576967,5.838093711241221e-8,8.48350523996455e-8,32,0.15625,0.36890203262847354,0.025012926,0.0214207
5,500,11.056359413531055,6.597204071923102e-8,9.70282835743852e-8,33,0.15151515151515152,0.36410954062720957,0.027626351,0.025626537
1,1000,14.823685543308832,4.151488011694404e-8,8.212480662184163e-8,20,0.15,0.3663475485325232,12.524885961,11.936447181
2,1000,13.109999816718293,8.879890897595111e-8,9.058977043507888e-8,25,0.16,0.37416573867739406,10.884841002,10.424419066
3,1000,13.295525252839989,4.440248096981847e-8,4.440248096981847e-8,23,0.13636363636363635,0.3512500866571044,7.860552217,7.468205068
4,1000,13.276236203031488,3.472650553226764e-8,3.062940481801668e-8,11,0.18181818181818182,0.40451991747794525,5.924888522,5.340430153
5,1000,14.103953954631386,5.702014110875453e-8,8.171477511309533e-8,30,0.16666666666666666,0.3790490217894517,13.2646538,12.820264285
1,1500,17.038233048023756,7.848339864113818e-8,6.272415459251945e-8,32,0.15625,0.36890203262847354,13.381497573,12.901034874
2,1500,16.484786983443264,2.4844034524074132e-8,9.324932512266848e-8,29,0.13793103448275862,0.35093120317179827,14.353415456,13.868946027
3,1500,17.52787758655774,4.908993836427733e-8,9.77416374503548e-8,37,0.16216216216216217,0.37368387661182234,22.269739242,21.561309402
4,1500,16.648826387591768,4.1243461396112124e-8,7.283716660366757e-8,20,0.15,0.3663475485325232,9.365628907,8.857212487
5,1500,17.16515266466712,4.468902478627079e-8,9.47498137171543e-8,25,0.16,0.37416573867739406,9.56958778,9.06515845
1,2000,20.36677912937941,3.402253276330036e-8,6.874612867857621e-8,18,0.16666666666666666,0.3834824944236852,13.774867426,13.235713938
2,2000,19.139549450653625,1.5706120236325116e-7,2.3080978961420584e-8,11,0.18181818181818182,0.40451991747794525,9.498128101,8.973750033
3,2000,19.797565027444037,6.292041720978858e-8,8.164959723611087e-8,27,0.14814814814814814,0.3620139928982457,14.1942227,13.60717953
4,2000,19.610083120525587,6.916387933209034e-8,8.031477581604829e-8,24,0.16666666666666666,0.3806934938134405,13.386422069,12.941999054
5,2000,19.24733816640944,2.2463307242093222e-8,2.2463307242093222e-8,24,0.13043478260869565,0.34435022157509093,14.694473052,14.33407619
1,2500,22.714023607484695,4.391367981748662e-8,7.024339644667865e-8,31,0.16129032258064516,0.373878250552983,32.390980792,31.855692198
2,2500,21.598256005690796,1.636321139697472e-8,6.87138735772086e-8,16,0.125,0.3415650255319866,17.699975161,17.228797972
3,2500,22.22464243241605,2.7786221670766942e-8,7.108747815398608e-8,31,0.16129032258064516,0.373878250552983,31.851334452,31.278859913
4,2500,21.728135502275958,3.823390340440547e-8,9.059434885605455e-8,18,0.16666666666666666,0.38348249442368526,17.88013004,17.456986781
5,2500,21.906146874909133,6.630404045249172e-8,9.330725303513532e-8,39,0.15384615384615385,0.36551776819519566,32.103440574,31.646925704
1,3000,24.251687864090016,1.8938969253978755e-8,5.510312635348402e-8,23,0.13043478260869565,0.34435022157509093,27.209609368,26.71291753
2,3000,25.04609680251863,3.8185322473460737e-8,4.7424591795297566e-8,27,0.14814814814814814,0.3620139928982457,30.516684639,29.988178456
3,3000,24.72309500960051,4.213859819413024e-8,4.213859819413024e-8,23,0.13636363636363635,0.3512500866571044,27.125511602,26.549016587
4,3000,25.34625734029605,6.400331184486241e-8,9.447910334636767e-8,34,0.14705882352941177,0.35949062795357095,39.021796207,38.509317089
5,3000,25.62132476818358,5.133755100195092e-8,9.666941429287146e-8,33,0.15151515151515152,0.36410954062720957,38.47190897,38.06521038
1,3500,26.43948413494382,5.058896550280689e-8,5.121459732693179e-8,31,0.16129032258064516,0.373878250552983,37.300403417,36.779808209
2,3500,25.796770240012034,5.00564335259579e-8,8.118026935399758e-8,21,0.14285714285714285,0.35856858280031806,25.939195657,25.46261284
3,3500,26.020570107419957,4.928453502250907e-8,4.928453502250907e-8,10,0.1111111111111111,0.33333333333333337,13.194698362,12.469874207
4,3500,25.71118585406929,4.101862127736666e-8,5.811099929031727e-8,18,0.16666666666666666,0.3834824944236852,22.347336362,21.798832326
5,3500,27.931606955942087,4.061138154931587e-8,9.056038316468396e-8,18,0.16666666666666666,0.3834824944236852,22.511291763,21.726721872
1,4000,27.363226639097675,3.318997211787522e-8,8.766288712991344e-8,21,0.14285714285714285,0.35856858280031806,26.802918394,26.297964537
2,4000,29.229481918997394,3.0639510220642485e-8,2.0741639503163434e-8,21,0.14285714285714285,0.35856858280031806,27.407104258,26.895420075
3,4000,28.823067745427778,6.327716571552511e-8,8.555417239930474e-8,39,0.15384615384615385,0.36551776819519566,50.585024857,50.064318665
4,4000,29.134260454157783,6.337665976741125e-8,6.337665976741125e-8,30,0.13793103448275862,0.35093120317179827,38.216875253,37.667955195
5,4000,30.378013421816142,4.197344248557666e-8,8.297972635407103e-8,20,0.15,0.3663475485325232,26.989259942,26.480568601
1,4500,29.797464689562293,4.610282564043722e-8,8.083968260075292e-8,50,0.16,0.3703280399090206,64.16189947,63.669204426
2,4500,31.070972587216712,3.759710782980097e-8,7.694644819922214e-8,30,0.16666666666666666,0.3790490217894517,39.240882077,38.701144727
3,4500,30.104940929721916,5.266279372306837e-8,4.9614615305060283e-8,31,0.16129032258064516,0.373878250552983,40.081438245,39.576832841
4,4500,30.299231028843295,4.5382191227183455e-8,4.5382191227183455e-8,10,0.1111111111111111,0.33333333333333337,13.701795361,13.228853195
5,4500,30.773633322136256,2.5600141076442817e-8,2.8915043984167887e-8,18,0.16666666666666666,0.3834824944236852,23.704155535,23.243555553
1,5000,31.054631842543657,3.4824542735623076e-8,4.0122402594766626e-8,20,0.15,0.3663475485325232,27.309566802,26.651646698
2,5000,31.303226284480598,8.773991930222103e-8,2.4387347488663558e-8,29,0.13793103448275862,0.35093120317179827,39.055747786,38.471061747
3,5000,31.154916616234047,6.106545753781223e-8,9.52310529461764e-8,25,0.16,0.37416573867739406,33.520334023,32.991637446
4,5000,31.427429616401476,6.530765514489723e-8,6.442769485970334e-8,40,0.15,0.36162028533978946,52.238923163,51.770246624
5,5000,31.084058662168033,6.405363416062126e-8,6.405363416062126e-8,21,0.15,0.3663475485325232,28.799271214,28.158537721
