seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,500,10.109248698195271,1.1050499210130127e-8,0.0,0,2.330915835,2.316492474
2,500,10.259851374534247,4.3237377900240404e-8,4.3237377900240404e-8,2,0.120682387,0.117763042
3,500,10.11470881521966,2.7649775025118117e-8,0.0,0,0.003141866,0.002819584
4,500,8.499158126576974,7.642035118604618e-8,0.0,0,0.004731432,0.004387254
5,500,11.056359413531027,2.3942131860410498e-8,0.0,0,0.003338174,0.00300941
1,1000,14.823685543308796,7.429042991891066e-9,0.0,0,3.646989279,3.518987307
2,1000,13.109999816718114,4.74345633050266e-8,5.2237603243021624e-8,5,4.880373892,4.393949616
3,1000,13.295525252840214,2.4187255531771257e-8,0.0,0,0.608420448,0.607936008
4,1000,13.276236203031466,1.4249430413393327e-8,1.4249430413393327e-8,2,1.288376169,1.016558428
5,1000,14.103953954631367,3.685374361239724e-8,0.0,0,0.56041255,0.559948446
1,1500,17.03823304802379,8.162625367291731e-8,3.848032356645881e-8,9,14.088649574,13.393372007
2,1500,16.48478698344325,4.7947976367090916e-8,4.0668172024416194e-8,14,18.100429107,17.833155805
3,1500,17.527877586557643,7.944573665596977e-9,9.345610713085151e-8,14,14.688569035,14.173221922
4,1500,16.64882638759171,8.796497585894514e-9,8.796497585894514e-9,4,3.724374339,3.533214708
5,1500,17.165152664667115,5.0328343575989365e-8,5.0328343575989365e-8,9,9.336335126,8.893123439
1,2000,20.366779129379452,5.0158295628044414e-8,3.894210298671652e-8,2,6.020593556,5.443933429
2,2000,19.139549450653544,3.617025816360364e-7,2.878768508296492e-8,6,8.720549533,8.318538987
3,2000,19.797565027444058,8.029967975275998e-8,8.029967975275998e-8,12,17.672561309,17.354367284
4,2000,19.610083120526184,8.970322275259068e-8,4.68456235191983e-8,13,18.848522979,18.402484482
5,2000,19.247338166409524,1.8624485079166142e-8,1.8624485079166142e-8,14,19.040369629,18.627663737
1,2500,22.714023607484535,2.8538909471742535e-8,8.976906101798576e-8,23,39.202092976,38.705032102
2,2500,21.598256005690793,3.8817621894615684e-8,3.8817621894615684e-8,6,9.745526362,9.240268878
3,2500,22.224642432416136,5.20771765710748e-8,5.941076894333541e-8,12,20.468590328,19.862960818
4,2500,21.72813550227596,2.170547976076964e-8,5.224555341132309e-8,3,4.973437409,4.511966616
5,2500,21.906146874908952,3.6992922516909665e-8,3.6992922516909665e-8,22,36.153262747,35.683982158
1,3000,24.251687864090197,5.487152988925548e-8,1.0713557541119911e-8,14,36.247652485,35.5893131
2,3000,25.046096802519102,7.91247477677226e-8,7.434482372781215e-8,16,31.361303503,30.798917707
3,3000,24.723095009600442,5.83517033858616e-8,6.778384854799757e-8,14,29.256632563,28.470139554
4,3000,25.346257340295978,4.4721280290094256e-8,9.212683774184605e-8,19,38.912726908,38.453147437
5,3000,25.621324768183538,1.8654403965978616e-8,5.047757058174174e-8,18,39.651655272,39.076956546
1,3500,26.43948413494385,4.03185020508845e-8,4.512529055977765e-8,16,42.30289727,41.555304472
2,3500,25.796770240012044,7.918935643336233e-8,8.401654338907605e-8,14,34.896083421,34.321159558
3,3500,26.02057010741985,0.0,0.0,0,2.107708874,2.107039865
4,3500,25.711185854069235,5.844219362616254e-8,6.643573105535872e-8,8,21.681821983,20.808829815
5,3500,27.93160695594199,7.326258766315874e-8,7.781063166012459e-8,5,13.632509208,13.020718506
1,4000,27.363226639098624,1.411743737883553e-7,3.31454249186125e-8,12,25.560443537,24.954962113
2,4000,29.229481918997585,1.7401858648513624e-8,4.910610536257298e-8,13,25.172473548,24.586522284
3,4000,28.823067745427963,5.316144191525041e-8,7.82613403249588e-8,26,51.279521749,50.721875934
4,4000,29.13426045415776,4.612483063548556e-8,6.725128329221342e-8,18,35.64965363,35.262992624
5,4000,30.378013421816743,1.2540353924728187e-7,4.7285314608291884e-8,12,22.780906216,22.338486454
1,4500,29.79746468956256,5.574871581037755e-8,6.439364469423836e-8,34,69.041204515,68.55908739
2,4500,31.07097258721714,2.521164628455086e-8,2.772373533521666e-8,18,35.104048236,34.613073542
3,4500,30.104940929721725,5.061846457266039e-8,9.396480761536541e-8,21,39.700129441,39.093392475
4,4500,30.299231028843277,0.0,0.0,0,1.540772396,1.540165231
5,4500,30.77363332213601,1.032574267756381e-8,1.032574267756381e-8,5,9.952039312,9.445066055
1,5000,31.054631842543625,2.8805245758101172e-8,2.8805245758101172e-8,6,15.118120327,14.636027928
2,5000,31.303226284479727,1.426950653471426e-8,6.521396460346107e-8,21,44.144667464,43.550341412
3,5000,31.15491661623359,1.992385133264829e-8,1.992385133264829e-8,14,29.109470419,28.622549906
4,5000,31.427429616401074,1.195987936464249e-8,7.16855659416149e-8,26,51.753212757,51.202241053
5,5000,31.084058662167962,9.095281611193329e-10,9.095281472415451e-10,11,22.225318679,21.740327169
