Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
500,5,0.0,<1e-7,25,Inf,0.0,<1e-7,30,Inf,40.7,<1e-7,336307,8263.1,0.1,<1e-7,39,390.0
1000,5,9.1,<1e-7,16,1.8,9.7,<1e-7,22,2.3,1385.4,3.14e-06,118,9.2,7.6,<1e-7,31,4.1
1500,5,12.5,<1e-7,21,1.7,13.1,<1e-7,29,2.2,3600.0,1.99e-06,--,6.3,17.7,<1e-7,38,2.1
2000,5,13.7,<1e-7,17,1.2,13.0,<1e-7,21,1.6,860.4,4.20e-06,309,8.4,17.2,<1e-7,29,1.7
2500,5,23.6,<1e-7,20,0.8,25.4,<1e-7,27,1.1,1944.4,5.29e-06,370,3.5,22.1,<1e-7,37,1.7
3000,5,31.3,<1e-7,22,0.7,32.1,<1e-7,28,0.9,2133.8,4.85e-06,501,2.5,23.3,<1e-7,36,1.5
3500,5,17.7,<1e-7,13,0.7,23.0,<1e-7,20,0.9,1413.0,5.74e-06,56,3.5,15.6,<1e-7,24,1.5
4000,5,36.4,<1e-7,22,0.6,32.9,<1e-7,26,0.8,3600.0,4.91e-06,--,1.7,27.4,<1e-7,38,1.4
4500,5,28.1,<1e-7,21,0.7,32.0,<1e-7,28,0.9,744.3,4.52e-06,145,4.8,24.4,<1e-7,38,1.6
5000,5,38.6,<1e-7,22,0.6,35.2,<1e-7,27,0.8,2774.2,4.94e-06,1565,1.8,25.5,<1e-7,34,1.3
