seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,10000,2.1833241823393797e-12,0.1339836962172101,9.955549060129962e-8,1607,4.825141339,4.776848874
2,10000,2.2715468578064816e-12,0.14025196925070288,9.920355865455038e-8,1753,2.779795142,2.77484776
3,10000,2.03105936289897e-12,0.12975627494745848,9.988935745969701e-8,1549,2.319196897,2.312699869
4,10000,2.240155730340842e-12,0.13466425341126873,2.110476962092783e-5,1809154,3601.0981714,3601.092038425
5,10000,2.0483060236643565e-12,0.13021887382429867,8.550359697154363e-6,1766489,3600.008453223,3600.005418939
1,40000,9.308962095904028e-12,0.1956660867229789,0.15738336323228447,2797,3604.596568677,3604.349219815
2,40000,1.1082942157341492e-9,1.905954967180991,1.9054555042240828,2144,3602.748463148,3602.493050066
3,40000,2.2918285544085777e-9,2.717072889707407,2.755230921045818,2159,3600.740506032,3600.356576638
4,40000,2.6038452189783223e-10,0.9041503770010787,0.9058556112113265,2271,3601.17392754,3600.997314379
5,40000,5.014172973270607e-12,0.14649195993263023,0.036149903733727916,2932,3601.152459679,3600.778184488
1,90000,5.2066453562591316e-8,10.76514371016018,10.762275973903765,2404,3602.832475962,3602.262615464
2,90000,2.8009185477249986e-8,7.496191905442549,7.667503342604685,2402,3601.548493919,3601.330136768
3,90000,2.5372663612108297e-9,2.325160803847399,2.3114410634715323,2555,3602.20848367,3601.817911932
4,90000,3.5390273986855355e-8,8.72569278584751,8.723300273531306,2567,3601.744382013,3601.438083568
5,90000,6.219843311334842e-9,3.6267122529194933,3.621028466169936,2596,3601.704483597,3601.503613833
1,160000,1.954110473946212e-8,5.736686038277959,5.736656715440244,3116,3603.580480983,3603.178423535
2,160000,3.8226479120740277e-8,8.187674152046462,8.09575964794678,3050,3601.570984138,3601.288120162
3,160000,5.167099245079301e-8,9.087605754163185,9.416908807757448,3111,3601.620466508,3601.33737905
4,160000,4.246553822278089e-8,8.10106808741002,8.112380755543693,3095,3601.632430455,3601.347184059
5,160000,3.230921077727781e-8,7.355223985343844,7.347243448160416,3119,3601.47894461,3601.193598331
1,250000,1.8107470321882546e-6,56.01022439394379,56.08292043101079,2221,3604.184530581,3603.741176451
2,250000,2.492720933304576e-6,68.140658234523,67.9528898635401,2037,3601.583941841,3601.113161535
3,250000,2.211924862639951e-6,60.53508104652582,60.422025381924115,2234,3601.985927069,3601.458651955
4,250000,2.3149226864370114e-6,61.95029324503824,61.89925796182896,2250,3602.26187871,3601.846876734
5,250000,1.0306646563902006e-5,136.08979457488957,132.00250900363676,2239,3602.500442758,3602.013314501
1,360000,1.7425430034595407e-5,156.62724378997268,156.60081057144822,2332,3604.276469669,3603.355960819
2,360000,7.338123560867894e-6,102.914627176924,109.51207247420186,2338,3602.368424455,3601.803347962
3,360000,8.920021092975852e-9,3.644023235763196,3.642233653778449,2295,3602.344497191,3601.605421517
4,360000,4.581360726594887e-6,79.74798692664807,79.6561485861499,2364,3602.71648632,3602.247074508
5,360000,6.935460809610949e-6,98.71457649078351,97.85946353650895,2357,3602.894796302,3602.312387697
1,490000,0.0821721338007643,19812.100594856525,19682.44247124872,638,3623.02457778,3617.454003782
2,490000,0.03183540288670945,13308.831897406519,13293.293091316866,646,3619.888411388,3614.63992752
3,490000,0.09971092252650024,25255.288601086555,24993.576810103725,648,3622.936607327,3618.472738843
4,490000,0.11902579439490639,27280.773328245104,25387.96759986782,652,3625.076514029,3620.560041168
5,490000,0.09718088607396154,23466.71504477394,23695.34767471786,662,3619.932568244,3615.527329377
1,640000,4.6507696568501997e8,3.1843812408787727e7,3.317191888647747e7,597,3617.428703373,3613.155491934
2,640000,1.1071972397820878e9,1.2339488706017494e7,9.94965360296154e6,589,3617.604459069,3613.336931808
3,640000,2.6801114724743456e8,1.4739441346916676e7,1.4975602332193851e7,583,3617.340521412,3611.78608887
4,640000,1.1870752509842303e8,1.882604049283552e7,1.8671851152266502e7,587,3616.732420009,3612.927080414
5,640000,4.136849332473058e7,1.4333793833656907e7,1.4637098572912216e7,587,3618.340521663,3613.344567096
1,810000,1.444152118962126e8,1.7094183903865576e7,1.720575982115841e7,578,3616.088623957,3611.85301776
2,810000,6.006773810247009e8,2.7626626512279987e7,2.4052054026629925e7,572,3617.360400653,3613.200968961
3,810000,8.079564645854588e8,2.4154244325662613e7,2.5690106875404835e7,579,3614.616693021,3610.217565738
4,810000,2.783345808658922e8,8.864549736661911e6,7.9812140563287735e6,578,3617.136533645,3612.546182763
5,810000,1.842196121545968e9,1.1001332111948967e7,1.1117527201353073e7,582,3614.436670285,3609.202250701
1,1000000,1.625349411779411e9,2.1604010448357582e7,2.1652180052064896e7,617,3618.956395514,3614.621174108
2,1000000,7.220438362007049e9,2.060944519972992e7,2.1178941695383072e7,599,3619.220331531,3614.566622962
3,1000000,2.3992612353703856e9,1.2566763063648224e7,1.2941290153281212e7,594,3616.440463742,3611.033357912
4,1000000,1.5895224339070668e9,1.5880317206104279e7,1.6416992024411201e7,593,3614.904456315,3610.16167902
5,1000000,6.227729927780563e8,1.2514450664588928e7,1.3348801817183018e7,596,3613.792560012,3609.358924184
