seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,10000,2.140150035842649e-12,0.13744536439146735,0.09602632640739726,2926408,3601.215878342,3601.154693131
2,10000,2.204375784079331e-12,0.13355853747644378,2.23732299026416e-5,1995793,3600.048692892,3600.006376624
3,10000,2.2466238045544457e-12,0.1308208293393265,0.12454445383937354,3463405,3600.00557142,3600.003471662
4,10000,2.1184901672195265e-12,0.12599038883661123,0.11373649003032174,3191387,3600.006361736,3600.004557745
5,10000,2.516055005230392e-12,0.14046001725386817,0.1404600172538682,3153339,3600.006561928,3600.004402301
1,40000,4.0696122926780115e-12,0.13912044019479936,0.0863479321306016,12110,3602.126182052,3601.827990125
2,40000,4.4949013233921e-12,0.13815002125858047,1.9003727331783723e-5,10792,3601.215059431,3600.841440203
3,40000,6.032628136503268e-12,0.476896364034842,0.4769168757669128,13079,3601.024701485,3600.728020776
4,40000,4.172232969456259e-12,0.1402804614265447,1.1803079453169638e-5,11131,3601.260586117,3601.02400412
5,40000,3.921660751539325e-12,0.1354085754619719,4.827763133583257e-5,11134,3601.224983147,3600.95999984
1,90000,1.8391011724424957e-11,1.0257564194935649,1.025798467549901,8436,3602.53339793,3602.13196461
2,90000,6.325228127776377e-12,0.15454206300683204,2.7512063098640045e-6,8367,3601.433553326,3601.024009347
3,90000,6.13841388347961e-12,0.13688670558148805,3.581948028977749e-6,8351,3601.586665812,3601.267990553
4,90000,5.876950328407974e-12,0.14501457890734987,3.926120627804131e-6,8399,3601.719522168,3601.408002652
5,90000,6.541674339972366e-12,0.14896756435380956,2.813456128986737e-6,8376,3601.59575088,3601.215999605
1,160000,5.5153230586095936e-11,2.376822921964087,2.3774394324669172,7750,3602.761561386,3602.375969807
2,160000,8.5452723355437e-12,0.1684325847268391,0.00039269449758194957,7714,3601.349576449,3601.132030338
3,160000,8.022244664910784e-12,0.13089108739433888,0.059622916947770985,7956,3601.727306893,3601.339976707
4,160000,3.686531401724817e-11,1.596381342859569,1.5970247922304643,7890,3601.218122753,3600.895997371
5,160000,8.435219678692666e-12,0.15093995460180232,0.0006249001897352862,7799,3601.793238644,3601.495979165
1,250000,1.088948690350888e-11,0.15846774166198158,0.023842369579174703,6881,3602.707389123,3602.271983496
2,250000,1.070305011633023e-11,0.15065413211846557,0.013965567948087808,6929,3601.695251061,3601.36001641
3,250000,1.0176517383023585e-11,0.16362913421702172,0.0194612462367847,6939,3601.762612441,3601.430486225
4,250000,1.1536457749295459e-11,0.1329176120280883,0.04402052300410052,6943,3601.512108915,3601.24799589
5,250000,1.2013131875776046e-11,0.16110941990379452,0.0614192484358192,6975,3601.628070549,3601.271974226
1,360000,6.314822735068844e-11,0.23360807831965869,0.23272877557225932,6642,3603.050778041,3602.703986865
2,360000,2.0497922126947353e-11,0.15482193573535066,0.1249149171249953,6574,3602.091401646,3601.738565186
3,360000,1.1938465530613483e-11,0.1548961142306827,0.007809893038582349,6366,3601.615445774,3601.318523246
4,360000,2.0565788163698848e-11,0.16004334786325464,0.1378276837179739,6612,3602.054926831,3601.682761159
5,360000,2.6727139361566298e-11,0.16278597637494893,0.1627916779765447,6656,3601.735779968,3601.390660948
1,490000,0.0018075536650139364,3130.104066638305,3105.967056349836,723,3620.182083834,3615.932022596
2,490000,0.0012036652031242993,2357.5897759541404,2348.372974317189,740,3620.714934299,3616.403968956
3,490000,0.0032352836414084127,3681.768933251722,3629.9081123354326,749,3617.383280581,3614.115945682
4,490000,0.003829931910846092,3760.481823384367,4008.5102591991485,759,3619.382886042,3614.653529878
5,490000,0.0033088900176851776,3668.3615333475395,4143.851007217919,768,3617.147606553,3613.159962749
1,640000,4.63267575680792e8,1.7363813927374363e7,1.5441438141009808e7,890,3614.970241299,3610.875840428
2,640000,1.1071643650222013e9,3.3563746604867935e7,3.758308721445179e7,889,3616.0234148,3612.003867577
3,640000,2.687951392059669e8,1.9135626633940697e7,1.9243711718604088e7,888,3615.006243574,3610.687770946
4,640000,1.1898133505989036e8,1.63966674520998e7,1.551462498017788e7,877,3616.61830322,3612.180148969
5,640000,4.144112955916383e7,1.1647927366877317e7,1.1938901156962872e7,884,3615.842428478,3611.399971301
1,810000,1.444615543133601e8,1.8447553432047844e7,1.7592436768423796e7,905,3617.269283467,3613.156128768
2,810000,6.015472134405657e8,3.072172729573536e7,3.0712726255242348e7,896,3615.547315242,3610.915982029
3,810000,8.053950614140192e8,1.8495111052504063e7,1.8697793302433968e7,899,3614.03387762,3610.300015536
4,810000,2.790391785658714e8,1.3164010798347473e7,1.339235360581398e7,887,3612.949796198,3608.316011945
5,810000,1.8426652873163595e9,1.2358729674757004e7,1.2698834941362381e7,893,3611.938655017,3608.011978261
1,1000000,1.6218156824719167e9,9.02615136787033e6,9.150468473165512e6,889,3615.70912589,3611.108056357
2,1000000,7.219751465730356e9,1.7491405206335068e7,1.8063764064199448e7,884,3613.070424821,3609.460017313
3,1000000,2.399350863243736e9,1.2332304719350815e7,1.1800579665358543e7,885,3615.578765708,3612.09608143
4,1000000,1.592549144943688e9,4.875044963322735e7,4.305287546076107e7,881,3614.098010412,3609.804161857
5,1000000,6.250164383161263e8,2.1521477708839417e7,1.992304785626793e7,891,3614.31443823,3610.555847156
