seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,10000,1.5649520484872065e-12,0.11953270774580203,9.89868408042621e-8,451,0,0,2.9379157427937916,0.3136227060878021,Inf,Inf,2.378313936,2.359360871
2,10000,1.5610910637802074e-12,0.12958524219698353,-0.005018043182555278,469,0,0,2.9337606837606836,0.3237447549750197,Inf,Inf,0.484052664,0.481406265
3,10000,1.6328501989287506e-12,0.12186836981362355,-0.007058264750378671,424,0,0,2.940898345153664,0.2553802973545059,Inf,Inf,0.433362569,0.431373537
4,10000,1.670587164539287e-12,0.14293066610934202,-0.005068637203878137,472,0,0,2.9256900212314223,0.3524961166018162,Inf,Inf,0.466203597,0.464203544
5,10000,1.7437015416194322e-12,0.13970506904538332,9.89874135228859e-8,469,0,0,2.9445628997867805,0.33511904822597144,Inf,Inf,0.470883364,0.468670881
1,40000,3.267841163095868e-12,0.12754966990764172,0.00041643720359571957,3421,0,0,2.957322420344928,0.28085556076874274,Inf,Inf,3602.440416672,3602.207993646
2,40000,3.4025827678693273e-12,0.1299417472018893,0.0009835543459341504,3370,0,0,2.9688427299703264,0.2755110670548813,Inf,Inf,3601.816224197,3601.167975507
3,40000,3.3416609927435127e-12,0.13061258371750065,0.00040085955667673367,3462,0,0,3.0057770075101096,0.2761252410728257,Inf,Inf,3601.444934914,3601.237628031
4,40000,3.2686278653031624e-12,0.12760753715052925,0.00013603997177100136,3484,0,0,2.942020665901263,0.29557370818730155,Inf,Inf,3600.964262752,3600.767989563
5,40000,3.744480635009989e-12,0.23906916817586807,-0.0024484835939799798,1906,0,0,2.9296587926509186,0.2658566680942575,Inf,Inf,1991.648206164,1991.443968036
1,90000,5.458062498042873e-12,0.1288495620984165,2.27860147748847e-5,3678,0,0,3.027732463295269,0.16587534003534668,Inf,Inf,3603.201087499,3602.916675353
2,90000,5.284266902160382e-12,0.13019154748042644,0.0029726995514206722,3664,0,0,3.0267467248908297,0.16136432121356595,Inf,Inf,3601.560264472,3601.159961079
3,90000,4.672395478188389e-12,0.13148132325161585,0.0024963325891644563,3474,0,0,3.0005757052389175,0.04156057606350344,Inf,Inf,3601.090070589,3600.900515465
4,90000,5.290755119106394e-12,0.1280519359458486,0.0030189008277025447,3703,0,0,3.0448285174183094,0.20695527988851434,Inf,Inf,3601.388309639,3601.060002736
5,90000,5.53148786739363e-12,0.16678698992416402,4.1548258925777924e-6,3635,0,0,3.075653370013755,0.2746866545457394,Inf,Inf,3601.044290622,3600.871966492
1,160000,9.035462243383104e-12,0.138465680489063,0.082526517268307,3330,0,0,3.060660660660661,0.23874266783262885,Inf,Inf,3602.731678932,3602.479975366
2,160000,8.058899040224173e-12,0.1366208332965734,0.06333521267099976,3258,0,0,3.0460405156537753,0.20960503719037107,Inf,Inf,3601.36449773,3601.131934791
3,160000,1.826214722241314e-11,0.17667114816918858,0.1842655283257955,3299,0,0,3.078811761139739,0.2706084053890654,Inf,Inf,3601.801675771,3601.267950554
4,160000,1.4407774889942568e-11,0.16396012321062498,0.17088760370649686,3317,0,0,3.063913174555321,0.24463508124912506,Inf,Inf,3601.160499106,3600.956014127
5,160000,8.171585395309867e-12,0.13440421724125007,0.06621762822299579,3281,0,0,3.040231636696129,0.19653199326537935,Inf,Inf,3601.960467095,3601.447933493
1,250000,1.3880844966940215e-9,1.4099444443747098,1.4777869927854215,3166,0,0,3.0445356917245734,0.20631458630045293,Inf,Inf,3603.036712535,3602.591934003
2,250000,9.081406977989273e-10,1.1919201834904853,1.1785646712061362,3128,0,0,3.0396419437340154,0.19514772554752202,Inf,Inf,3601.376414519,3601.131863506
3,250000,1.8529721185691622e-9,1.7166625506824418,1.7269262232050322,3129,0,0,3.0533716842441674,0.22622706658523906,Inf,Inf,3601.413767715,3601.157729373
4,250000,2.7000075297157315e-9,2.067800088798543,2.0661013369280643,3106,0,0,3.077269800386349,0.2682652855219848,Inf,Inf,3602.83639811,3602.346641583
5,250000,2.2500071729339925e-8,5.747636928226308,5.511552663760227,3142,0,0,3.088478676002546,0.28403499167383983,Inf,Inf,3602.216437501,3601.786432785
