Dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved
10000,0.9057175635820331,0.13216020188472616,1.0000394781366966,Inf,Inf,459.0,459.0,16.430234800519898,0.1358348512896189,1.0000000447559039,0.12995030706587776,1.0,295516.2,2142.0,3600.2293766049047,16482.860728183736,1.0172533282285363,16482.860728081374,1.0172533282292753,6.0036558e6,Inf,61.42484695654998,0.13372208010206055,1.0001409579124825,0.1324229112502003,1.0001408611592442,716110.4,1636.3333333333333,2.5099062486994383,0.13344148520048912,1.000021816340415,Inf,Inf,1299.0,1299.0,0.7448308731164615,0.1303929952446,1.000952118170338,Inf,Inf,457.0,457.0,1.0036673049440612,0.13216020188472616,1.0000394781366966,Inf,Inf,459.0,459.0,0.9598568507101826,0.13216020188472616,1.0000394781366966,Inf,Inf,459.0,459.0,1.004799045083275,0.13216020188472616,1.0000394781366966,Inf,Inf,459.0,459.0
40000,2454.651650795358,0.1797617449040788,1.017534231653926,Inf,Inf,3403.6,3403.6,3601.8000627746233,0.13308816510316543,1.0000357262920896,Inf,Inf,5933.6,5933.6,3600.9171194427827,21162.392322453044,1.0178286810076027,Inf,Inf,10856.4,10856.4,3602.08210044731,0.6692099702895401,1.5865305118177706,Inf,Inf,2460.6,2460.6,3602.0070961522565,0.13442226956914788,1.0000267347593415,Inf,Inf,4182.4,4182.4,2457.7553787482375,0.16934403854760077,1.0205640869650077,Inf,Inf,3394.0,3394.0,3004.479311469686,0.14537085602344246,1.04706189155477,Inf,Inf,3883.8,3883.8,2973.983363442751,0.1454382077924439,1.0475554250439758,Inf,Inf,3897.2,3897.2,2822.1035907684786,0.1429900688104557,1.0386356634943468,Inf,Inf,3940.8,3940.8
90000,3601.601161775601,0.12723027604558493,1.0000008189274092,Inf,Inf,4234.4,4234.4,3602.0684188298496,0.14485556309304712,1.0002917807880825,Inf,Inf,4840.2,4840.2,3601.072290132305,24904.698717785443,1.0008908175755555,Inf,Inf,9272.8,9272.8,3602.0076335064996,5.684934340169477,1.041236345979839,Inf,Inf,2504.8,2504.8,3602.0019709349635,0.1361277757308294,1.0003402118220408,Inf,Inf,3625.0,3625.0,3602.7124052992667,0.1363808158303273,1.003669957329413,Inf,Inf,3912.6,3912.6,3601.972416375861,0.13869120402529678,1.0065113880545131,Inf,Inf,3791.0,3791.0,3601.9259519743837,0.12756620140841668,1.0000097443921128,Inf,Inf,3870.6,3870.6,3601.691572442327,0.19039653332117293,1.0300160149445374,Inf,Inf,3906.4,3906.4
160000,3602.0147991306676,0.13356886096542614,1.0002206797457152,Inf,Inf,4129.4,4129.4,3601.954020005654,0.9437447913581491,1.0003174659975118,Inf,Inf,4526.0,4526.0,3601.7475718052315,21733.487921513562,1.000262330975166,Inf,Inf,3512.8,3512.8,3601.976571713158,7.604696152612012,1.0002225381538292,Inf,Inf,3098.2,3098.2,3602.0208520480396,0.4887456253618155,1.0029071700021908,Inf,Inf,3759.0,3759.0,3602.340728360425,0.13621913475777198,1.0010451036311099,Inf,Inf,3811.4,3811.4,3602.1611604479863,0.13360031014730658,1.0007359648302279,Inf,Inf,3747.2,3747.2,3602.000905120669,0.13179373176688725,1.0000241975658573,Inf,Inf,3801.0,3801.0,3601.961194503361,0.13491477087588535,1.0007435878814397,Inf,Inf,3835.6,3835.6
250000,3603.645625976536,0.8134879186261962,1.29779240937692,Inf,Inf,3665.8,3665.8,3602.2694823733013,5.350716368684723,1.090364436103426,Inf,Inf,4011.0,4011.0,3602.3902570486675,18093.658200908594,1.0000337785832685,Inf,Inf,2862.8,2862.8,3602.503233271521,72.09579594114288,1.084073921745681,Inf,Inf,2196.2,2196.2,3602.0750411228437,6.91487858899371,1.2277004822831197,Inf,Inf,3052.6,3052.6,3602.2350201887484,1.0016689637972953,1.2409373059895128,Inf,Inf,3550.2,3550.2,3602.2162316276604,1.2140759713753313,1.2708555249043443,Inf,Inf,3435.0,3435.0,3602.323893365933,1.1035536854092811,1.2663281187170614,Inf,Inf,3474.6,3474.6,3604.474598083651,1.0165676013319405,1.3533071427049799,Inf,Inf,3556.2,3556.2
360000,3603.158109956354,2.447488814264318,1.0934886920690585,Inf,Inf,3546.4,3546.4,3602.5993230964036,9.003943926479897,1.094927075293458,Inf,Inf,3669.4,3669.4,3602.27685101003,19681.124709045715,1.001798490582038,Inf,Inf,2910.6,2910.6,3602.920064943777,54.07611768214308,1.0751307393785319,Inf,Inf,2337.2,2337.2,3602.7011726617984,10.292060798026084,1.1550032762074132,Inf,Inf,2836.4,2836.4,3602.396647053668,2.8221364830288236,1.1096497193665489,Inf,Inf,3422.8,3422.8,3602.362250644383,3.2164379878460543,1.1157063968681742,Inf,Inf,3335.0,3335.0,3602.720808446755,3.046987548619332,1.0922126257959162,Inf,Inf,3366.8,3366.8,3603.460783042037,2.6855733959645702,1.119543167938002,Inf,Inf,3421.0,3421.0
490000,3618.466746853821,3625.828463183515,1.009827295579261,Inf,Inf,735.4,735.4,3619.0170965761763,16492.381522012936,1.0240710685479228,Inf,Inf,690.8,690.8,3619.346889430063,18985.388825567534,1.000009873457452,Inf,Inf,610.4,610.4,3622.1711843831254,21180.99488381385,1.0021025851210867,Inf,Inf,649.2,649.2,3620.9634473184146,8108.156959933342,1.0029911785401076,Inf,Inf,690.2,690.2,3617.674425299661,4183.3701357553655,1.0243839695110852,Inf,Inf,711.6,711.6,3622.1146320816324,6956.445214361562,1.018507009228767,Inf,Inf,633.6,633.6,3621.282619506482,5473.139348509267,1.0083510538052027,Inf,Inf,664.8,664.8,3620.300439198666,6051.747541023654,1.031181514330346,Inf,Inf,652.8,652.8
640000,3616.252286509824,1.2668476029246131e7,1.0498292415456842,Inf,Inf,727.8,727.8,3616.495227491456,1.6489603841116011e7,1.0212930546210872,Inf,Inf,694.4,694.4,3616.2974510439685,1.35475959897334e7,1.0003833017839936,Inf,Inf,582.8,582.8,3617.4892881704254,1.7329445932011236e7,1.0072298445592363,Inf,Inf,588.6,588.6,3616.8503865368316,1.5912967758700665e7,1.0057212974440468,Inf,Inf,638.2,638.2,3615.6228245515426,1.348015584044362e7,1.0003068457875441,Inf,Inf,762.4,762.4,3616.457478199584,1.4572360742977023e7,1.0078942226366718,Inf,Inf,656.4,656.4,3615.667856832979,1.6492613556165876e7,1.023895344460017,Inf,Inf,663.2,663.2,3617.2898791004054,1.4246726401924318e7,1.0153613288277636,Inf,Inf,657.0,657.0
810000,3616.932914701321,1.7751582417116374e7,1.0591110023246058,Inf,Inf,671.4,671.4,3616.4066526863726,1.483587970635459e7,1.0180774243355168,Inf,Inf,692.8,692.8,3616.3247840959843,1.797568538279882e7,1.1167454787977436,Inf,Inf,567.0,567.0,3615.9275774550465,1.6190278819444356e7,1.030310446183088,Inf,Inf,577.8,577.8,3615.277770566238,1.7498222686941028e7,1.0132747514284226,Inf,Inf,654.8,654.8,3623.0037656844643,1.9639944355188098e7,1.0564853379831185,Inf,Inf,524.6,524.6,3616.857630153232,1.4785500383984022e7,1.0424026891953326,Inf,Inf,626.6,626.6,3614.093940308721,1.3435184841466913e7,1.0109942794286693,Inf,Inf,670.4,670.4,3613.7587576556407,1.5030779344343457e7,1.000657858051863,Inf,Inf,643.8,643.8
1000000,3614.6211919819098,1.6177964944420567e7,1.0751886935036379,Inf,Inf,627.4,627.4,3617.8242369437226,1.5073019992039125e7,1.000071030304491,Inf,Inf,650.8,650.8,3617.329854309496,1.6539596061439391e7,1.0158001421546399,Inf,Inf,525.2,525.2,3616.662200647482,1.6188962385871105e7,1.0133438977784355,Inf,Inf,599.8,599.8,3616.65897031055,1.629906551793136e7,1.0000202236911164,Inf,Inf,622.2,622.2,3621.0102854060806,1.4566829101320624e7,1.2687812080322605,Inf,Inf,526.4,526.4,3623.5038450197612,1.783299605757304e7,1.0065522462601786,Inf,Inf,412.8,412.8,3615.4326964585234,1.5606012328688242e7,1.009986006235226,Inf,Inf,581.2,581.2,3615.6434111517806,1.7166048753440153e7,1.02113068177959,Inf,Inf,607.4,607.4
