seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_Primal,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_SmallestDualGap,LS_BACKTRACKING_AND_SECANT_Iterations,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_Primal,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_AND_SECANT_Iterations,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_Primal,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_ZERO_AND_SECANT_Iterations,LS_SECANT_3_Time,LS_SECANT_3_Primal,LS_SECANT_3_DualGap,LS_SECANT_3_SmallestDualGap,LS_SECANT_3_Iterations,LS_SECANT_5_Time,LS_SECANT_5_Primal,LS_SECANT_5_DualGap,LS_SECANT_5_SmallestDualGap,LS_SECANT_5_Iterations,LS_SECANT_7_Time,LS_SECANT_7_Primal,LS_SECANT_7_DualGap,LS_SECANT_7_SmallestDualGap,LS_SECANT_7_Iterations,LS_SECANT_12_Time,LS_SECANT_12_Primal,LS_SECANT_12_DualGap,LS_SECANT_12_SmallestDualGap,LS_SECANT_12_Iterations,minimumTime
1,10000,2.653543129,1.6827138821703029e-12,0.12665924232071252,-0.0015888150182645686,450,4.646712287,2.183834079219142e-12,0.13433410281401176,-0.004910421002914086,1629,3601.132403196,0.01854143415586421,15911.165039486035,15911.16503948603,7190810,4.825141339,2.1833241823393797e-12,0.1339836962172101,9.955549060129962e-8,1607,3.807736435,1.8652046749804066e-12,0.12968428809576477,9.82137847894553e-8,998,2.47806536,1.5649520484872065e-12,0.11953270774580203,9.89868408042621e-8,451,2.820091255,1.6827138821703029e-12,0.12665924232071252,-0.0015888150182645686,450,2.833985359,1.6827138821703029e-12,0.12665924232071252,-0.0015888150182645686,450,2.872292702,1.6827138821703029e-12,0.12665924232071252,-0.0015888150182645686,450,2.47806536
2,10000,0.63192648,1.7186545880753303e-12,0.13121554941512686,9.687445993124422e-8,465,5.141562635,2.0591902652468055e-12,0.1413545608384262,-0.0027924211824401886,3640,3600.003718546,0.019416888948199314,15354.305138463958,15354.305138463955,6010824,2.779795142,2.2715468578064816e-12,0.14025196925070288,9.920355865455038e-8,1753,1.953258587,2.203488849946649e-12,0.13713502797571667,-0.0003392254618907987,1150,0.491614567,1.5610910637802074e-12,0.12958524219698353,-0.005018043182555278,469,0.712911701,1.7186545880753303e-12,0.13121554941512686,9.687445993124422e-8,465,0.669270471,1.7186545880753303e-12,0.13121554941512686,9.687445993124422e-8,465,0.707561226,1.7186545880753303e-12,0.13121554941512686,9.687445993124422e-8,465,0.491614567
3,10000,0.56683435,1.3967202792658953e-12,0.11726141355897354,-0.004645576949441896,425,2.332414797,2.3462690933064926e-12,0.13803105685663603,9.952786224364383e-8,1605,3600.00335573,0.015922961210199586,15219.407388573885,15219.407388573882,6313047,2.319196897,2.03105936289897e-12,0.12975627494745848,9.988935745969701e-8,1549,1.481608547,2.170738777981741e-12,0.1342512981209066,9.806534988313317e-8,966,0.430558062,1.6328501989287506e-12,0.12186836981362355,-0.007058264750378671,424,0.637088892,1.3967202792658953e-12,0.11726141355897354,-0.004645576949441896,425,0.594877132,1.3967202792658953e-12,0.11726141355897354,-0.004645576949441896,425,0.632102859,1.3967202792658953e-12,0.11726141355897354,-0.004645576949441896,425,0.430558062
4,10000,0.641228635,1.894363458638658e-12,0.15875457698283266,9.865287043803942e-8,479,3601.343315887,2.0724477519511337e-12,0.12995030706587776,8.849847060722204e-7,1469013,3600.003933586,0.018442649821071563,14817.950934346993,14817.950934346998,6310888,3601.0981714,2.240155730340842e-12,0.13466425341126873,2.110476962092783e-5,1809154,3.941739705,1.8245121105779593e-12,0.13142359389651237,-0.0021306027920043047,2213,0.473252178,1.670587164539287e-12,0.14293066610934202,-0.005068637203878137,472,0.735563452,1.894363458638658e-12,0.15875457698283266,9.865287043803942e-8,479,0.682374636,1.894363458638658e-12,0.15875457698283266,9.865287043803942e-8,479,0.732830119,1.894363458638658e-12,0.15875457698283266,9.865287043803942e-8,479,0.473252178
5,10000,0.639402848,1.6355842841986132e-12,0.13031640741885192,9.916581930855765e-8,476,2.864537159,2.2717787342914346e-12,0.13577060934819582,9.925432491611784e-8,1694,3600.003613464,0.03818559393679956,22082.330372024553,22082.33037202456,4192710,3600.008453223,2.0483060236643565e-12,0.13021887382429867,8.550359697154363e-6,1766489,2.059301735,2.09403153250725e-12,0.13484247297681437,-0.011188905833996659,1168,0.479073477,1.7437015416194322e-12,0.13970506904538332,9.89874135228859e-8,469,0.73702707,1.6355842841986132e-12,0.13031640741885192,9.916581930855765e-8,476,0.68381608,1.6355842841986132e-12,0.13031640741885192,9.916581930855765e-8,476,0.731833986,1.6355842841986132e-12,0.13031640741885192,9.916581930855765e-8,476,0.479073477
1,40000,1332.392470828,4.402890860053491e-12,0.3667782955083398,-0.006949800888946498,1954,3603.588492319,3.8892717580696205e-12,0.12991902598259858,0.0018411225976913814,5985,3602.484431438,0.034167899136485734,20620.57857432969,20620.578574329695,10949,3604.596568677,9.308962095904028e-12,0.1956660867229789,0.15738336323228447,2797,3602.684475926,4.141868945282117e-12,0.13426132973940894,3.018341507516256e-7,4303,3609.200447433,3.534827227307559e-12,0.13225177690663906,0.00042866464800566463,4425,3603.220453364,3.4039518912711283e-12,0.12860468993977497,0.0006285230535572515,4393,3603.204447492,3.3985367024514486e-12,0.1287216195749638,0.007075872766739365,4220,3602.892451281,3.5273737601420113e-12,0.1322539917112449,0.00010221409357124406,4520,1332.392470828
2,40000,3603.60060235,3.241791761912769e-12,0.12891670577025366,5.913121327817524e-5,4566,3601.530986064,4.3419711681067705e-12,0.13640901911214537,4.992656770670798e-6,5865,3600.368409156,0.05799854275796241,26717.845337445906,26717.845337445906,11237,3602.748463148,1.1082942157341492e-9,1.905954967180991,1.9054555042240828,2144,3600.989892497,3.9825659499263835e-12,0.13182156700581177,3.239622534029584e-5,4377,3601.91638849,3.3392476243815207e-12,0.12810645596844883,0.0005339906187033624,4410,3601.756418815,3.404734382150382e-12,0.13132629840317578,0.00166017879809528,4332,3601.610976293,3.238041670641376e-12,0.12728295548768534,0.003573624131472335,4272,3601.044424331,3.2145253446523975e-12,0.12834536292437537,0.00019507852400631634,4484,3600.368409156
3,40000,3601.016401244,3.1933956367669706e-12,0.12765764202311713,0.010167286744358326,4206,3601.544458755,3.6201055446529283e-12,0.13022154756323479,0.07162985306720626,6074,3600.500392581,0.07242403728100791,29704.04769999091,29704.047699990897,10485,3600.740506032,2.2918285544085777e-9,2.717072889707407,2.755230921045818,2159,3602.28049357,4.032076535084807e-12,0.13205171590111744,7.280253616267891e-7,4240,3601.044429794,3.263141704310772e-12,0.12491079628626457,0.0014043189668432067,4359,3601.054978244,3.211523937127005e-12,0.1267965723588776,0.0008950230265329665,4382,3601.42444057,3.3848094164510505e-12,0.13110616025743932,9.901654951648416e-5,4555,3601.076433762,3.140019584684582e-12,0.12544072552894428,8.586924521403766e-5,4571,3600.500392581
4,40000,3601.176447215,3.386606063871414e-12,0.1288207349551965,0.0005985948671721625,4386,3601.028487557,4.185058562926291e-12,0.13413885558502334,0.002072185549739752,5948,3600.560405963,0.02175343164256203,16498.161093066403,16498.16109306638,10962,3601.17392754,2.6038452189783223e-10,0.9041503770010787,0.9058556112113265,2271,3601.7004484,3.92627383793831e-12,0.13809636304648498,7.277494254320403e-7,4105,1384.456432525,4.081061254823898e-12,0.2824546131921557,-0.005491989557785846,1868,3600.800427519,3.232006151064717e-12,0.1291029813548282,0.0004402810008537094,4403,3601.540438251,3.3409317919446605e-12,0.1286316428938014,7.545731022580534e-5,4532,3601.180411297,3.215547160202197e-12,0.12703326022318132,2.541566691381887e-5,4604,1384.456432525
5,40000,1430.884473434,3.5290170969219864e-12,0.24139624057887077,-0.0014463850201954427,1906,3601.308468209,4.206184768758216e-12,0.13487885333410665,1.8015963876690465e-6,5796,3600.672390858,0.017954129209092312,15720.644801462942,15720.64480146293,10649,3601.152459679,5.014172973270607e-12,0.14649195993263023,0.036149903733727916,2932,3602.380420413,4.354654379254499e-12,0.1359854332806712,2.731787905816316e-7,3887,1383.360428892,3.41007867134833e-12,0.2329813120412146,-0.0051160073846303125,1908,1454.634981984,3.549196140877354e-12,0.23481757241104068,-0.0025691098562058137,1909,1381.90445652,3.4599417856812214e-12,0.23550277397683064,-0.0014371872963520862,1907,1063.620442248,3.5217297206748224e-12,0.22099432872058344,-0.004671558941083795,1525,1063.620442248
