seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,100,8.19600538415595,1.0470528497563691e-6,1.047052752056743e-6,6366534,3600.044859567,3600.042502506
2,100,10.08518070156861,1.1650191158452117e-6,1.1650193076917503e-6,6404532,3600.003607777,3600.001335172
3,100,8.706778140545525,8.252661984897713e-7,8.252661753971324e-7,6313927,3600.003700736,3600.001321311
4,100,7.238023614116864,6.90771849498617e-7,6.907718477222602e-7,6283608,3600.015127125,3600.01253676
5,100,9.086419695586287,7.812220026437444e-7,7.812219067204751e-7,6272386,3600.003533725,3600.001077568
1,200,7.833607868815006,1.1785925453366985e-6,1.178592313522131e-6,2275648,3600.034674082,3600.006648426
2,200,8.65091808959196,1.2783874865363032e-6,1.2783874634436643e-6,2322439,3600.044078892,3600.008490177
3,200,7.484184634160078,1.0035443969158564e-6,1.003544317867977e-6,2336003,3600.079979991,3600.02787042
4,200,7.930776553903956,1.2699893892076375e-6,1.2699890117318091e-6,2449297,3600.061163855,3600.002460454
5,200,8.366717917742067,1.2644473876832762e-6,1.2644482563217707e-6,2321517,3600.030266681,3600.002578402
1,300,7.964321459208624,1.0721455021567294e-6,1.072145645153455e-6,21071,3600.219415498,3600.196414414
2,300,8.147093833185883,1.2197972498739773e-6,1.219797574947279e-6,20829,3600.359452809,3600.32702423
3,300,7.797695963600666,8.887948066416129e-7,8.887946965074889e-7,20266,3600.259415086,3600.195058098
4,300,7.761391440218753,9.890768453146848e-7,9.89076482049711e-7,21350,3600.119419278,3600.086980979
5,300,8.61541288554271,1.4158256966823046e-6,1.415825879647059e-6,21374,3600.103369761,3600.086806667
1,400,8.851919515535553,1.3696318212907954e-6,1.3696330558587988e-6,14444,3600.34287329,3600.230175612
2,400,9.197242482518714,1.1861257576128992e-6,1.186125968999363e-6,13865,3600.479034197,3600.398685786
3,400,8.784028612813172,1.321032419454582e-6,1.3210321707646244e-6,14335,3600.451107732,3600.342426268
4,400,8.767459355482728,1.5694539783339678e-6,1.5694533761489993e-6,13966,3600.462922157,3600.346576507
5,400,8.699225149886843,1.00178005979501e-6,1.0017801663764203e-6,13556,3600.219077835,3600.166484487
1,500,8.254121055529472,1.8713212366350263e-6,1.8713220235611061e-6,10303,3600.490535556,3600.353548462
2,500,8.682231613273034,1.3354548293875723e-6,1.3354548205057881e-6,11109,3600.278857172,3600.198022553
3,500,8.270115985403427,1.0957363834052103e-6,1.0957367155839393e-6,9519,3600.696361884,3600.605762073
4,500,8.310307861977698,1.4268737622558092e-6,1.4268735508693453e-6,9944,3600.602935402,3600.501591521
5,500,8.365022829280269,1.2762632266571927e-6,1.2762622869644247e-6,11368,3600.543014838,3600.454135281
1,600,8.293631845162524,1.592423434004786e-6,1.5924239953335473e-6,12705,3600.646213607,3600.440779617
2,600,8.291305989050521,1.2820369583721458e-6,1.2820367629728935e-6,10250,3600.543836695,3600.345307119
3,600,8.190944272150576,1.1957788927929869e-6,1.1957789265437668e-6,11533,3600.454132396,3600.292812186
4,600,8.150079361415399,1.5106534743125621e-6,1.5106534956288442e-6,12281,3600.470414038,3600.304834166
5,600,8.233069909492585,1.8126919094640925e-6,1.812692335789734e-6,11015,3600.450258783,3600.252634116
1,700,8.324004826797362,1.6315743831540885e-6,1.6315746194095482e-6,7828,3600.721839854,3600.456063114
2,700,8.475230270149668,1.8445389038390658e-6,1.844538736861523e-6,8151,3600.650028458,3600.356209948
3,700,8.173869730287203,1.7002686387712629e-6,1.7002692942469366e-6,7761,3600.922250473,3600.616716863
4,700,8.11815701491139,1.2853563529091616e-6,1.2853563404746637e-6,7936,3601.266051177,3600.928825608
5,700,8.421245509183558,1.9155514046076405e-6,1.915551642639457e-6,8047,3600.869968416,3600.676542019
1,800,8.572338966092737,1.962337879746201e-6,1.9623375777655383e-6,7005,3600.721279729,3600.407619205
2,800,8.827056951525332,1.5729430504762831e-6,1.5729433755495847e-6,6667,3601.103261982,3600.791691265
3,800,8.515523545506518,1.6958344009054827e-6,1.6958348485474062e-6,7116,3600.790917531,3600.508128063
4,800,8.714721597239706,1.6724353244512713e-6,1.6724359053199578e-6,7448,3601.16102537,3600.805907021
5,800,8.631263996993427,2.0971416567761025e-6,2.097141674539671e-6,5195,3600.937507973,3600.599567849
1,900,9.24266759563883,0.00010711765970050635,0.00011776441805722015,3809,3601.748119744,3601.394848717
2,900,9.275490931189601,1.8900179625802593e-6,1.8900187832571191e-6,4567,3602.260181015,3601.956499301
3,900,9.059922633674057,1.8492413147441766e-6,1.8492415261306405e-6,4969,3601.06496363,3600.513747143
4,900,9.166862622731946,9.109107919513804e-6,9.732920647209653e-6,3674,3601.325039196,3600.91964999
5,900,9.219820541473164,5.323022882919304e-6,5.242354964352103e-6,4082,3601.464832628,3601.14122923
1,1000,8.346064085381906,0.000391791278472553,0.00038845026721823217,2766,3601.832602273,3601.497973265
2,1000,8.39307962638289,0.0002009095114363646,0.0002226938097056319,2923,3602.317910305,3601.860977616
3,1000,8.519699395465562,2.6771463605967938e-5,2.686238997107182e-5,3203,3601.625803282,3601.30182137
4,1000,8.608930588555118,0.00010081260883865184,0.00010994868164893035,3635,3602.208082386,3601.712875431
5,1000,8.43597670359439,3.701884974205427e-5,3.416138082990017e-5,3782,3602.022312118,3601.554138717
