seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,100,8.196005384164861,1.4252554665361572e-5,1.8557968475718667e-5,11587783,3600.127871418,3600.12458042
2,100,10.085180701579311,1.6910531803304707e-5,1.5078857961370318e-5,12206444,3600.003375093,3600.001061147
3,100,8.706778140552062,1.8300338437526875e-5,1.9004893195173622e-5,11681666,3600.042687998,3600.04028749
4,100,Inf,Inf,Inf,0,3600.0,3600.0
5,100,9.08641969559407,2.4398872261244264e-5,1.535430373778013e-5,11569301,3600.004798029,3600.003506509
1,200,7.833607869163017,7.03531255021872e-5,6.006742866038195e-5,4103582,3600.005683313,3600.002521768
2,200,8.65091808975112,7.355194366631679e-5,6.872234243004982e-5,3840203,3600.005365145,3600.001661262
3,200,7.4841846342883445,5.501411675989942e-5,7.621584308026286e-5,4176081,3600.034586278,3600.031305591
4,200,7.930776554205714,6.831929554351746e-5,5.847061174346635e-5,4262658,3600.050487012,3600.047401822
5,200,8.366717917901088,7.153980653562542e-5,7.44191449868481e-5,4162233,3600.018151891,3600.001996261
1,300,7.964324292926829,0.00787698317069907,0.0077765688082491735,48096,3600.24332264,3600.174865654
2,300,8.14709489774198,0.004609069002688315,0.005541054858321459,69366,3600.09142214,3600.066953006
3,300,7.797697245880306,0.005567291176210354,0.00507776295459994,53000,3600.147324896,3600.130750998
4,300,7.7613930007717755,0.0044219644530532065,0.004182507004571789,67492,3600.127497659,3600.07093317
5,300,8.615416710588091,0.014182437017774774,0.01429564198527089,53919,3600.179345543,3600.154715243
1,400,8.851929797674279,0.034616475585554696,0.03712465982578195,34551,3600.254947762,3600.226193514
2,400,9.197251305486157,0.010997295358887271,0.011453033746368746,34115,3600.226851285,3600.138192447
3,400,8.784034121632125,0.01317134206658288,0.009326616865935833,37157,3600.350847535,3600.194404435
4,400,8.767471861511277,0.035071116720331474,0.03465750439712778,34447,3600.294828475,3600.198147786
5,400,8.699229436319388,0.014297522714118216,0.012569771561496523,35107,3600.278991082,3600.162376524
1,500,8.254145229799699,0.04338029996287318,0.04402386635330302,24874,3600.47871358,3600.353335884
2,500,8.682267592299425,0.05527178330252269,0.05710519939050762,21030,3600.33477158,3600.245573788
3,500,8.270167905609314,0.056254138174397283,0.05655920952139404,21235,3600.32672809,3600.221526077
4,500,8.31032712325282,0.03750991597344644,0.039883829104292445,22589,3600.386951024,3600.237985076
5,500,8.365389572303728,0.19036350526332058,0.2036652916639028,7782,3601.039098763,3600.786055704
1,600,8.293661698122428,0.05451469673453424,0.05239229389551525,23051,3600.578491791,3600.361612628
2,600,8.291326905534149,0.025922546904830313,0.02583782081452135,29569,3600.386400771,3600.24533089
3,600,8.190986482831947,0.049619608142322136,0.05048718023251553,27020,3600.514347763,3600.353061158
4,600,8.150090820853881,0.014310693066290625,0.012859721180554118,29362,3600.394368048,3600.233361201
5,600,8.233088586157287,0.03589283794219433,0.0358866043973034,30145,3600.382343089,3600.204794899
1,700,8.324059387816046,0.05971053489513167,0.059621746705069256,17727,3600.729946169,3600.504619139
2,700,8.475291548702774,0.08254503896859333,0.08244059627279654,19870,3600.673875981,3600.428651131
3,700,8.178874017590884,0.5055875512610406,0.48017753008328157,3649,3602.137906521,3601.709468562
4,700,Inf,Inf,Inf,0,3600.0,3600.0
5,700,8.421431040676923,0.10571632601435788,0.10517230746166284,15837,3600.813813052,3600.464004115
1,800,8.572820310747177,0.18972160048818765,0.19014414478454178,9793,3601.0379153,3600.717572654
2,800,8.827384000196833,0.15536015416938653,0.15557484986238812,12089,3601.045986506,3600.726694619
3,800,8.529841203195929,0.7594842542080684,0.7901317671129942,2445,3603.11418801,3602.487314755
4,800,8.715034285915527,0.14036517140853455,0.13682804465794973,14019,3600.645584723,3600.384389517
5,800,8.631423636531391,0.12973384471589888,0.13174900538011336,15123,3600.708298183,3600.406977943
1,900,9.247693211452434,0.42492250902945905,0.4306523370134947,5550,3601.54060403,3601.112759065
2,900,9.278864850936676,0.440171742426692,0.431929053091368,5812,3602.100677018,3601.776749421
3,900,9.061416361442355,0.28397614438557817,0.28328863011624783,6347,3601.760572817,3601.368070463
4,900,9.16837534348929,0.2665056657237663,0.275031424945114,7839,3601.109810122,3600.644182625
5,900,9.222175546897613,0.34443839399876985,0.34296541070083286,6459,3601.101139446,3600.699193185
1,1000,8.352491598911032,0.4927251152364729,0.49696679872333327,4737,3601.725731448,3601.350608329
2,1000,8.399805135101445,0.47682627622070584,0.47832151281955504,4704,3601.89810451,3601.477738237
3,1000,8.522422248176511,0.3967242995871647,0.4031408071223108,4862,3601.773329243,3601.366836453
4,1000,8.61466221923689,0.5134487692209522,0.5196221570278361,4594,3602.569140535,3602.14542326
5,1000,8.441945334435053,0.4391320390024571,0.43768844031054854,4747,3602.119891341,3601.713951943
