seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,500,8.254191287133441,0.06023191269192729,0.058408407666698636,742,3605.086856728,3604.906118422
2,500,8.683474568757346,0.1961296418398124,0.1953529079773162,694,3607.780333264,3607.633932698
3,500,8.270146507170976,0.04528504668551214,0.04583083018549239,593,3603.578789718,3603.446157005
4,500,8.311080834533778,0.12753885833459933,0.12059342812909968,642,3607.372195029,3607.229850846
5,500,8.365039323418676,0.008498326668808787,0.008609037476878356,757,3603.954923665,3603.724372753
1,1000,8.638338980629829,2.677760864602206,2.686883463459983,238,3612.574424595,3612.08410872
2,1000,8.656522374674969,2.825685347270369,2.9608085052564608,245,3603.616655397,3603.125278301
3,1000,8.736047282209212,2.551395576812613,2.543275486708227,235,3614.864895957,3614.384194086
4,1000,8.940223897862337,3.3662786555593325,3.431337809886168,210,3606.647810101,3606.164345286
5,1000,8.68678020331995,2.482707481124814,2.770898298557393,237,3610.185000734,3609.736462388
1,1500,16.388942892470137,84.37792633688898,90.69454942966114,26,3689.372223427,3688.516485922
2,1500,17.489123227088662,94.32246062020559,98.69732408511756,25,3679.405065,3678.587280815
3,1500,16.88336205862708,99.29523265544086,98.87495929719664,25,3625.469209484,3624.753509119
4,1500,15.512149664788298,64.0580427169419,64.51714401450421,26,3728.697180014,3727.890374716
5,1500,16.439424687379127,86.15169987165169,86.64786635401765,26,3710.901202113,3710.131262327
1,2000,19.456620592567443,166.67143806858846,166.9757410152294,23,3686.485811446,3685.588340518
2,2000,20.83370645493985,188.44855462877354,185.13575589562635,22,3625.705864099,3624.845910474
3,2000,19.385525305251385,158.93164685025388,157.7872270391922,23,3722.577737007,3721.780597934
4,2000,18.88600941251915,151.44584412476783,161.6726631506927,23,3655.901826659,3655.015232249
5,2000,20.245241677046153,172.18711841359445,198.0263814765691,23,3697.902178506,3697.014318956
