seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,100,Inf,Inf,Inf,0,3600.0,3600.0
2,100,10.085180701568097,3.054397712531909e-7,3.054397712531909e-7,9488163,3600.003771201,3600.001241314
3,100,8.706778140545309,4.6148763210851484e-7,4.6148763210851484e-7,9982107,3600.003576482,3600.001130869
4,100,7.238023614116429,4.0044659321836207e-7,4.0044659321836207e-7,8434732,3600.003585448,3600.001240332
5,100,9.086419695586114,5.664079818501477e-7,5.664079818501477e-7,9529443,3600.003505318,3600.001006174
1,200,7.8336078688146635,6.44583717956948e-7,6.44583717956948e-7,3273512,3600.048493846,3600.002275883
2,200,8.650918089591443,5.107452345498587e-7,5.107452345498587e-7,3241066,3600.041524139,3600.001560309
3,200,7.484184634159891,8.676056104661711e-7,8.676056104661711e-7,3445628,3600.005486253,3600.001891805
4,200,7.930776553903074,8.316724597889902e-7,8.316724597889902e-7,3330751,3600.066115631,3600.001975032
5,200,Inf,Inf,Inf,0,3600.0,3600.0
1,300,Inf,Inf,Inf,0,3600.0,3600.0
2,300,Inf,Inf,Inf,0,3600.0,3600.0
3,300,7.79769596360037,4.1303824005467504e-7,4.1303824005467504e-7,24402,3600.219345265,3600.202703252
4,300,7.7613914402183495,5.455906073592587e-7,5.455907521323411e-7,39314,3600.179501156,3600.119021496
5,300,8.61541288554171,5.222950250072245e-7,5.22294831384329e-7,45216,3600.127461269,3600.067104508
1,400,8.851919515534965,9.746692999357265e-7,9.746692999357265e-7,20673,3600.326865991,3600.238205716
2,400,9.197242482518222,8.024624662539281e-7,8.024624662539281e-7,17430,3600.40708648,3600.334486299
3,400,8.784028612812609,6.74948628542893e-7,6.74948628542893e-7,19939,3600.39508171,3600.314213247
4,400,8.767459355481664,6.72270550339249e-7,6.72270550339249e-7,17601,3600.319122102,3600.210601668
5,400,8.699225149886276,5.844153410095032e-7,5.844153410095032e-7,19808,3600.36716157,3600.266574449
1,500,8.254121055528827,5.478242588452531e-7,5.478242588452531e-7,14276,3600.506689586,3600.420853259
2,500,8.682231613271718,5.913861844675239e-7,5.913861844675239e-7,15238,3600.310590422,3600.225412575
3,500,8.270115985402962,3.240209061061705e-7,3.240209061061705e-7,13229,3600.426583546,3600.297533609
4,500,8.31030786197676,7.653085098979773e-7,7.653085098979773e-7,15040,3600.474700871,3600.357899251
5,500,8.365022829279594,5.290742368657675e-7,5.290742368657675e-7,16323,3600.464202034,3600.333720072
1,600,8.293631845161869,9.674380461177634e-7,9.674380461177634e-7,14674,3600.662482375,3600.513453222
2,600,8.291305989049334,8.881384783165913e-7,8.881384783165913e-7,3104,3601.262968222,3600.972338504
3,600,8.190944272149515,7.515297824056688e-7,7.515297824056688e-7,15193,3600.47002072,3600.208075909
4,600,8.150079361414196,6.892880115572098e-7,6.89288462751847e-7,14310,3600.35828241,3600.236387777
5,600,8.233069909491753,4.758646223734786e-7,4.758646223734786e-7,16035,3600.603817964,3600.363038674
1,700,8.324004826796195,9.573432677711935e-7,9.573432677711935e-7,10639,3600.761135776,3600.418457624
2,700,8.475230270148383,5.239418339186841e-7,5.239418339186841e-7,10434,3600.673853999,3600.42015307
3,700,8.173869730286041,8.716652892815091e-7,8.716652892815091e-7,10742,3600.88200787,3600.588482744
4,700,8.118157014910878,7.337273810748002e-7,7.337273810748002e-7,11157,3600.91405502,3600.52075766
5,700,8.4212455091828,9.095218604926458e-7,9.095218604926458e-7,11227,3600.581691403,3600.336395647
1,800,8.572338966091959,9.925687614043e-7,9.925687614043e-7,8195,3601.061610416,3600.813164847
2,800,8.827056951524058,1.4336732441222466e-6,1.4336732441222466e-6,7572,3601.495163723,3601.220833845
3,800,8.515523545505616,7.836923536785889e-7,7.836923536785889e-7,7798,3600.981547617,3600.722825032
4,800,8.714721612770967,0.0005381370958055243,0.000452556845665697,1488,3603.582128952,3602.976490138
5,800,8.631263996992493,1.0850247580407313e-6,1.0850247580407313e-6,7299,3600.817612354,3600.533481476
1,900,9.242667590429434,1.3519823411911602e-6,1.3519823411911602e-6,5595,3601.517440651,3601.13164682
2,900,9.27549093118802,5.453640401498205e-7,5.45365196558123e-7,4293,3601.077154218,3600.723041133
3,900,9.059935509204667,0.033224446919629,0.03266953342831691,1319,3604.837444454,3604.218953247
4,900,9.166863533900363,0.0034947619899483584,0.0035807106522600662,1330,3603.549649577,3602.823845863
5,900,9.219820541463774,1.2029161879922867e-6,1.2029167777427574e-6,3862,3601.720895418,3601.396187118
1,1000,8.346064026858272,8.426734119382218e-7,8.426733195676661e-7,3223,3601.740559001,3601.333020816
2,1000,8.393079615627887,7.022321462102354e-7,7.022321462102354e-7,3045,3601.943837763,3601.445578602
3,1000,8.519699395252678,8.96975693720492e-7,8.969767879563051e-7,3343,3602.040480991,3601.661698542
4,1000,8.609137643321437,0.10598508905363424,0.10699614389455725,1305,3602.867340353,3602.34850756
5,1000,8.435976703178882,9.781889485083184e-7,9.781889485083184e-7,3184,3601.618106388,3601.181400959
