Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved,LS_GOLDEN_RATIO_Time,LS_GOLDEN_RATIO_DualGap,LS_GOLDEN_RATIO_DualGapSD,LS_GOLDEN_RATIO_DualGapNotSolved,LS_GOLDEN_RATIO_DualGapNotSolvedSD,LS_GOLDEN_RATIO_IterationsAll,LS_GOLDEN_RATIO_IterationsSolved,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGap,LS_BACKTRACKING_DualGapSD,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_DualGapNotSolvedSD,LS_BACKTRACKING_IterationsAll,LS_BACKTRACKING_IterationsSolved
100,5,0.6,1.2208458421980595e-7,1.0025311965689399,Inf,Inf,887,887,3600.0,6.003863735060122e-7,1.0013727719700127,6.003863735060122e-7,1.0011756182243874,1844014,Inf,3600.0,4.334454901666618e-7,1.0181922134110781,4.334454901666618e-7,1.0214991806724507,7486889,Inf,3600.0,1.8465567367176305e-5,1.0214427572527816,1.8465567367176305e-5,1.022440807470232,9409039,Inf,3600.0,9.018663877924382e-7,1.0040427644302767,9.018663877924382e-7,1.003133227446013,6328197,Inf,3600.0,0.0011515230107925767,1.1937761147659385,0.0011515230107925767,1.1930388850136675,959494,Inf,3600.0,1.9033537108636978e-6,1.009493144093403,1.9033537108636978e-6,1.0085433428151749,3494226,Inf
200,5,3.2,9.859156091529542e-8,1.0030260453796285,Inf,Inf,1413,1413,3600.0,6.933198479774916e-7,1.0007344407152983,6.933198479774916e-7,1.0016551569611278,1134455,Inf,3600.0,7.136517452543956e-7,1.0059787525523136,7.136517452543956e-7,1.0076586852904785,2658191,Inf,3600.0,6.7755635870137e-5,1.000692090749123,6.7755635870137e-5,1.0007093049311113,4108951,Inf,3600.0,1.198992235718066e-6,1.0005739140099787,1.198992235718066e-6,1.0006540885281954,2340981,Inf,3600.0,0.0010494356339785238,1.0002066399305227,0.0010494356339785238,1.0001966204083235,286220,Inf,3600.0,1.5851777579456439e-6,1.000082226698459,1.5851777579456439e-6,1.0000454236627783,961982,Inf
300,5,420.5,1.1407170696919877e-7,1.0040918315046063,Inf,Inf,1971,1971,3600.0,7.154879930748592e-7,1.0046148649100526,7.154879930748592e-7,1.0053565782997709,158189,Inf,3600.0,4.936412891787256e-7,1.0010739670104163,4.936412891787256e-7,1.001346344799273,21786,Inf,3600.0,0.0073249926656291375,1.1232713598282384,0.0073249926656291375,1.1233154119665207,58375,Inf,3600.0,1.1171280029920183e-6,1.0114238320991846,1.1171280029920183e-6,1.0125944695361717,20978,Inf,3600.0,0.0013934443692478204,1.0176247724594496,0.0013934443692478204,1.017606304741775,1610,Inf,3600.0,1.6364414165970231e-6,1.0432205044761143,1.6364414165970231e-6,1.0531029400089467,6928,Inf
400,5,775.3,9.428284286627786e-8,1.000390268851382,Inf,Inf,2315,2315,3600.0,8.869358165686236e-7,1.0016952441798137,8.869358165686236e-7,1.001104835971486,13297,Inf,3600.0,7.417532479347955e-7,1.0113216903642732,7.417532479347955e-7,1.009971226676157,19090,Inf,3600.0,0.021573378792020925,1.0166656903764812,0.021573378792020925,1.0166582573746268,35075,Inf,3600.0,1.2896047894006557e-6,1.0127128868216797,1.2896047894006557e-6,1.011736835511081,14033,Inf,3600.0,0.00290601239553534,1.0352864279023262,0.00290601239553534,1.0350901339069047,959,Inf,3600.0,1.8179666345652379e-6,1.002135265155231,1.8179666345652379e-6,1.001650438709631,4391,Inf
500,5,1284.7,1.0186359533648215e-7,1.0000137346299895,Inf,Inf,2901,2901,3600.0,4.4694697348912626e-5,2.6043808288963457,4.4694697348912626e-5,1.1835427176401285,7187,Inf,3600.0,5.515228092001223e-7,1.0003174892824038,5.515228092001223e-7,1.0000066663026632,14821,Inf,3600.0,0.07510145175747884,1.2804468016273383,0.07510145175747884,1.2804593049161008,19502,Inf,3600.0,1.4011298541394268e-6,1.0016674143718658,1.4011298541394268e-6,1.001202736031954,10449,Inf,3600.0,0.06321910071777714,1.0016730504346694,0.06321910071777714,1.0016661260172757,734,Inf,3600.0,1.5635393939561482e-6,1.0105472316800141,1.5635393939561482e-6,1.0096157460435473,3869,Inf
600,5,2209.3,0.00010115519850195653,3.5133995036308154,0.0002527566024030925,1.045619846249462,2384,3012,3600.0,1.0350101191658467e-6,1.0004016017519843,1.0350101191658467e-6,1.0004659047909314,9773,Inf,3600.0,7.544517737212431e-7,1.0430480502529924,7.544517737212431e-7,1.0381451770695729,12663,Inf,3600.0,0.03594570980100675,1.0020258559626252,0.03594570980100675,1.0020275279204014,27829,Inf,3600.0,1.4787169093644081e-6,1.0084466652561899,1.4787169093644081e-6,1.009267436124827,11557,Inf,3600.0,0.05786652971755735,1.000061182600596,0.05786652971755735,1.0000645132738866,773,Inf,3600.0,1.3015356969958702e-6,1.0037493697666826,1.3015356969958702e-6,1.0047906503809467,3688,Inf
700,5,2059.5,1.0110601245116868e-7,1.0008382858317724,Inf,Inf,2976,2976,3600.0,0.003342351317906278,20.083611809739327,0.003342351317906278,2.6816841712780355,5544,Inf,3600.0,7.992399142509043e-7,1.0034217793607432,7.992399142509043e-7,1.0045822130718205,10840,Inf,3600.0,0.17556254599832477,1.0087425292452539,0.17556254599832477,1.0087404370973303,11417,Inf,3600.0,1.6754579126310176e-6,1.0036605363382403,1.6754579126310176e-6,1.00411103017667,7945,Inf,3600.0,0.22049206750242067,1.0364306236784642,0.22049206750242067,1.0364293315503181,619,Inf,3600.0,1.2781982161591543e-6,1.027819693626287,1.2781982161591543e-6,1.0255774909234634,3135,Inf
800,5,3565.6,1.8605154952222591e-6,7.654827447320381,2.447424373830387e-6,1.1118967549829668,2443,3240,3600.0,0.21496754840482768,12.408711227594576,0.21496754840482768,19.92617303706596,2299,Inf,3600.0,0.00010846334345626651,3.743128790436232,0.00010846334345626651,1.346204561833765,6470,Inf,3600.0,0.25520205113035677,1.0474115124632681,0.25520205113035677,1.0474098857226948,10694,Inf,3600.0,1.8001384431975964e-6,1.004730868121134,1.8001384431975964e-6,1.0050383902483866,6686,Inf,3600.0,0.7026059906429873,1.0008004200413079,0.7026059906429873,1.0008004226179654,481,Inf,3600.0,1.7053409269163211e-6,1.0012384186011571,1.7053409269163211e-6,1.0011138424413175,2872,Inf
900,5,3600.0,0.00812820830016392,2.3846052933695012,0.00812820830016392,2.415989156200492,1703,Inf,3600.0,0.4527998497920651,2.0966876499812977e10,0.4527998497920651,3.2018758969310346e9,2060,Inf,3600.0,0.00726148022467088,124.33756486320176,0.00726148022467088,11.781433350786216,3280,Inf,3600.0,0.35015026532549043,1.000000259880692,0.35015026532549043,1.0000002596053532,6401,Inf,3600.0,2.505696470911367e-5,1.1326113306147372,2.505696470911367e-5,1.0170358811799864,4220,Inf,3600.0,2.000340460100203,1.0137152013932476,2.000340460100203,1.013715233601136,324,Inf,3600.0,1.4082683833072096e-5,1.017152591777353,1.4082683833072096e-5,1.0983633313282024,2221,Inf
1000,5,3600.0,0.09410247965435237,1.0680570766877069,0.09410247965435237,1.068070420123462,1152,Inf,3600.0,0.3806870280628101,25.01812599990666,0.3806870280628101,24.995251753361366,1422,Inf,3600.0,0.020352308594456803,28.160749188194313,0.020352308594456803,2.664224320872553,2820,Inf,3600.0,0.46317967998027565,1.0005093534547642,0.46317967998027565,1.0005093515833265,4729,Inf,3600.0,0.00015145160314444794,1.2192201319830982,0.00015145160314444794,1.1958891923650319,3262,Inf,3600.0,3.1035199265886177,1.0739094623874894,3.1035199265886177,1.0739094111214378,226,Inf,3600.0,0.00047492051618891473,1.3377639734701168,0.00047492051618891473,1.3308176529219455,1849,Inf
