seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,500,0.22024087367502518,1.0278993772816492e-7,9.996849446164413e-8,1470,909.2950504,909.169937627
2,500,0.22261468891578012,1.1140964628619798e-7,9.770442053330664e-8,1857,967.082856222,966.99806782
3,500,0.2214987923636159,9.933897603814357e-8,9.83383965855178e-8,1424,890.426749476,890.322100476
4,500,0.22020051067856222,1.0097405317432973e-7,9.992668384417591e-8,1595,937.782930281,937.645808009
5,500,0.22162919018804147,1.066160320584153e-7,9.7134462057058e-8,1501,824.306858092,824.205954406
1,1000,0.16817332077055663,9.265014039064323e-5,9.268122647276139e-5,1110,3606.790675975,3606.269155924
2,1000,0.16825934560036868,1.6022341803489243e-5,1.6408389194616513e-5,1227,3603.610063363,3603.207658504
3,1000,0.16867194250642525,5.181906037278819e-5,5.242208997255013e-5,1269,3602.508591838,3602.157925199
4,1000,0.16884742740165096,4.8197377301759103e-5,4.7452986156406446e-5,1279,3603.542104582,3603.114077784
5,1000,0.1682788593183928,1.887724261858889e-5,1.89961687555619e-5,1308,3603.58755095,3603.271902954
1,1500,0.14476384007725906,0.0056106878211710474,0.00561549353359958,477,3604.855121927,3604.031348669
2,1500,0.14440127887983828,0.00402685265270478,0.004005980989370619,487,3606.052411334,3605.224668265
3,1500,0.14387569231720804,0.0035832404746489917,0.00367016343588996,492,3606.518416055,3605.930950582
4,1500,0.14439598313522659,0.0036877733703355904,0.0037185383965288796,486,3605.837936462,3605.162517161
5,1500,0.1444289835438902,0.005116084410688171,0.0051058057383504135,487,3605.608333902,3605.010895761
1,2000,0.12960853672436848,0.005664649226771196,0.0056472574903769016,452,3608.638683694,3607.877878663
2,2000,0.12982041025372412,0.0059358162755328014,0.005910395361532712,457,3606.11116583,3605.415504311
3,2000,0.12951415694615068,0.005347797353101678,0.005324002821293073,445,3607.707717073,3606.919258281
4,2000,0.12958554472039369,0.005790107391161654,0.006408114944399343,437,3610.155708502,3609.420312073
5,2000,0.12962980075614547,0.005903798695179582,0.005903981680575331,430,3605.380794666,3604.62709892
1,2500,0.12214297826753609,0.007129098863390561,0.007148574834397486,385,3607.490843593,3606.52144369
2,2500,0.12297121602560168,0.00969948040308153,0.009629152286518002,383,3606.171333787,3605.363574481
3,2500,0.12266656780646763,0.008867477365410627,0.009087929787120634,385,3607.063586665,3606.264573197
4,2500,0.12234228612681058,0.008860976481735585,0.009276395750191648,384,3604.139334496,3603.254981913
5,2500,0.12241355763511211,0.008086644564922984,0.008172829873521838,388,3606.652399413,3605.744103519
1,3000,0.11154158502526203,0.00783922916806878,0.007798902730105677,359,3606.360141562,3605.330872266
2,3000,0.11166587372090724,0.00845169512660765,0.008667511251943604,361,3612.414489459,3611.5798204
3,3000,0.11171679097727875,0.009489392929941165,0.009560259417913494,361,3609.014650531,3608.164581491
4,3000,0.11132549177736066,0.007890518953665902,0.007888767295899834,359,3607.781765934,3606.778018078
5,3000,0.1114994684748868,0.008976230715923541,0.008940944740377928,359,3611.666823918,3610.80735066
1,3500,0.10855645796271636,0.014272309735515385,0.014230028591742199,333,3605.984724075,3604.953953898
2,3500,0.10709508562181533,0.009268719606601823,0.009262377128066879,332,3605.662742976,3604.712288538
3,3500,0.10673559965318015,0.009066928516130435,0.008993509635605433,342,3609.062157361,3608.044944157
4,3500,0.10710928344645991,0.010114074839663593,0.010459974188859317,338,3605.717367773,3604.720290086
5,3500,0.10688148907166718,0.0088796517012318,0.008857987242339885,337,3608.94285154,3608.079754525
1,4000,0.10192641222809787,0.011533552945595785,0.01199899091696676,281,3619.092522808,3617.88878844
2,4000,0.10190173011382893,0.010700074417125668,0.010861003109584946,279,3619.068253414,3617.992287244
3,4000,0.10160684936415905,0.010886315900634193,0.01088671672435083,281,3612.060054219,3610.883083273
4,4000,0.10165405953339605,0.010376661915457306,0.010519629258153078,281,3615.545950723,3614.420279818
5,4000,0.10208931936753411,0.012618280010214956,0.012448636975229074,283,3610.8890987,3609.669287951
1,4500,0.10221047882862776,0.03586709353724664,0.03760177344476872,148,3637.46125698,3635.189306643
2,4500,0.1023829306317336,0.0390336643902483,0.039030763604404786,147,3619.280772092,3617.058540136
3,4500,0.10084283605610513,0.026889708881901772,0.02685826805659309,146,3619.250211255,3617.306424725
4,4500,0.10194209508306953,0.035323599711260326,0.035096028087906316,146,3624.482209546,3621.873581762
5,4500,0.10462016146452217,0.06875303320675262,0.06952104416900765,149,3625.283359444,3623.411320808
1,5000,0.09736100983518194,0.04309221592741872,0.043050169406445675,129,3633.083544003,3630.820614997
2,5000,0.09628301738475473,0.032847979468663524,0.03385355464147274,130,3636.039260301,3633.995291937
3,5000,0.09779273965213056,0.049435496106318574,0.050917509923073354,130,3616.21650987,3614.206167283
4,5000,0.09907349004346194,0.06943022615555858,0.06914178086248304,131,3635.991753098,3633.758897425
5,5000,0.09588793877722596,0.032147545639272086,0.032352262272601816,128,3626.578550994,3624.494238611
