seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,100,0.40266864541065034,1.0047503101739963e-7,9.999995351228641e-8,8340610,2423.345101222,2423.343752786
2,100,Inf,Inf,Inf,0,3600.0,3600.0
3,100,0.41558999968858246,9.440258683102165e-8,8.78744882276683e-8,10295496,3052.81565867,3052.813402397
4,100,0.3954930485852812,1.0827476615293818e-7,9.659715365095689e-8,9611056,3373.659482929,3373.657566301
5,100,0.41639129581898726,9.97255073797998e-8,9.814465420920904e-8,10381541,2993.814166138,2993.811684867
1,200,0.30981549278341736,2.3514041989913803e-7,2.1782264367220527e-7,4340829,3600.121656924,3600.057534006
2,200,0.31715082967992464,2.498596181760293e-7,2.4148986736693967e-7,4026244,3600.104425602,3600.068433698
3,200,0.30783322459500684,2.3186101477667975e-7,2.1843862541004455e-7,4344685,3600.069739794,3600.001587721
4,200,Inf,Inf,Inf,0,3600.0,3600.0
5,200,0.3130442557525645,2.208448124096929e-7,2.517915456690112e-7,4367204,3600.046356552,3600.002215187
1,300,0.2658558834202532,1.6325698851585302e-5,1.7240553069945708e-5,60078,3600.239226133,3600.154943024
2,300,0.2667530749461834,2.386605466330599e-5,2.4454441053978204e-5,45093,3600.131435489,3600.102816291
3,300,0.26508781634199313,1.5411558533531822e-5,1.4591413451336965e-5,58779,3600.119561076,3600.084600937
4,300,0.26438842195394574,1.839769941930358e-5,1.746702694740282e-5,51976,3600.143313743,3600.07496063
5,300,0.26873878149460306,1.575236849697681e-5,1.7286969895904947e-5,60824,3600.227391942,3600.162909271
1,400,0.24646931823245619,3.706120360696258e-5,3.0116471433083714e-5,31337,3600.214874868,3600.158289794
2,400,0.2489726217795015,0.0001027366877244737,9.088631488403387e-5,32520,3600.238893034,3600.170298619
3,400,0.24800210947239318,3.220208897108251e-5,3.346526305104264e-5,31825,3600.386905127,3600.242427429
4,400,0.24643448665105186,2.9182705527971975e-5,3.242376380982459e-5,33099,3600.271241517,3600.202757922
5,400,0.24655843899705376,3.259342614103655e-5,3.058155296784687e-5,32982,3600.311039873,3600.241915757
1,500,0.22024090216572142,4.098010462705304e-5,3.913721809700732e-5,22684,3600.444274616,3600.313389312
2,500,0.22261472434072208,8.898151588173503e-5,9.858061230336862e-5,26371,3600.346560368,3600.221279482
3,500,0.2214988452903877,0.0001418173564184111,0.0001459442430693375,22976,3600.418666339,3600.293460897
4,500,0.2202005404641792,3.839592076290699e-5,3.760196469837496e-5,24087,3600.346586252,3600.261339396
5,500,0.22162922177667696,6.83619177657066e-5,7.254474345687323e-5,25974,3600.33458291,3600.24556789
1,600,0.20496252790986177,8.429597095507141e-5,8.135021607778153e-5,22798,3600.498278666,3600.305388451
2,600,0.20484040352018848,3.563998610773417e-5,3.622306065265146e-5,26092,3600.410291788,3600.261274914
3,600,0.20464397752255284,0.00010394406569223802,0.00010046313386678773,26132,3600.51030665,3600.341307604
4,600,0.20422783040594997,3.9068820394748405e-5,3.6168540348532896e-5,25060,3600.442420031,3600.265271227
5,600,0.20475436481997417,0.00013837568977861925,0.00013934972504490994,23922,3600.538357967,3600.372791039
1,700,0.19398143731607823,5.903414867532847e-5,5.581846065593615e-5,15142,3600.734018828,3600.472238282
2,700,0.1944198419652847,0.0002124430636500918,0.0002100607386640238,16026,3600.769802463,3600.547393997
3,700,0.1929065284966267,0.0010043433778278293,0.0010099855359523777,3402,3602.826656567,3602.389756801
4,700,0.19333967936918137,0.0009570285531929484,0.0009561315269021042,3455,3602.006577375,3601.505701923
5,700,0.19420792194059439,0.00013528892610539106,0.00013973743102465436,16931,3600.639413145,3600.460180614
1,800,0.18602927753027995,0.00019289264297171066,0.00019292965236163834,14724,3600.809454402,3600.612260388
2,800,0.18665322627993158,0.0010307591773022692,0.0010503329280756313,2399,3604.12566972,3603.517193171
3,800,0.18578134427016113,0.0013862475755473114,0.0014002170086451146,2420,3604.126391793,3603.529162326
4,800,0.18653699359100837,0.00023291586636176032,0.00024040812034076958,10944,3600.689629885,3600.428317395
5,800,0.18644882635183432,0.00018861754811955178,0.00018553039629099627,14304,3600.711050707,3600.456250781
1,900,0.18145097028684304,0.0015743020088709939,0.001570632754384356,2218,3603.846691139,3603.385278453
2,900,0.18165154818365153,0.0005247491118170744,0.0005106262508378159,6942,3601.456872075,3601.01522209
3,900,0.18115656381340361,0.0017660296074586967,0.001659004761397409,2171,3603.869559399,3603.219783407
4,900,0.18112681989176724,0.0005928822706820491,0.0005918873196003524,6044,3601.114396496,3600.731027977
5,900,0.18154814819207765,0.0004670059001079599,0.00046506467644165383,6558,3601.153070133,3600.771075989
1,1000,0.16819909145915474,0.0015927052725929966,0.0016012759002178543,2185,3603.360845612,3602.740258024
2,1000,0.16826259975192234,0.0006838026932602763,0.0006969132261018772,4909,3601.84829363,3601.470348285
3,1000,0.16867763932289717,0.0007823864934216676,0.0007956945861365,4323,3602.145918742,3601.705856715
4,1000,0.1688703391954684,0.0016591731197469518,0.0016455921084617305,2184,3603.26325781,3602.710308598
5,1000,0.16828236148912684,0.0007136633466788694,0.000712422064607636,4554,3601.763026716,3601.344940313
