seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,time,fw_time
1,500,0.2202408736748851,9.98673758828561e-8,9.573463253392811e-8,785,679.714759603,679.514840349
2,500,0.22261468891540637,9.500373069487589e-8,9.478828074532819e-8,987,900.782958406,900.638125866
3,500,0.22149879236326941,9.643999113878587e-8,9.872618422779311e-8,679,634.736259933,634.59410577
4,500,0.22020051067833096,9.887831177446404e-8,9.96840207947991e-8,826,779.999023794,779.88206015
5,500,0.2216291901877312,9.544153166396452e-8,9.781592720525811e-8,738,761.894954294,761.774187057
1,1000,0.16817323302423678,1.6673446187227825e-6,1.7373344863222395e-6,973,3605.194374151,3604.761632595
2,1000,0.1682593348003717,1.0034983485146531e-7,9.952343619015758e-8,1099,3520.617108433,3520.310360552
3,1000,0.16867191811297322,1.560411703939446e-6,1.5691157500656583e-6,1129,3602.632029749,3602.272372204
4,1000,0.16884738588928422,3.6864746271597637e-7,3.5818920698579837e-7,1256,3602.094390467,3601.729716979
5,1000,0.16827882743247827,2.818216395146511e-7,2.850640589378839e-7,1235,3602.016915284,3601.710549117
1,1500,0.1443310194113314,0.003022797475784121,0.002966875857290375,329,3610.975372703,3610.173244789
2,1500,0.14428236293807778,0.0031095285652185667,0.0030562477682268656,345,3615.429846809,3614.712296471
3,1500,0.14372671557267963,0.0025004780941088635,0.002516254529229125,350,3605.722382156,3605.082904982
4,1500,0.1441924436362085,0.002324031435093042,0.002458348166848451,349,3617.044579171,3616.379702616
5,1500,0.14405898495960648,0.002657385924834891,0.002647481643782767,339,3603.907345069,3603.237859203
1,2000,0.12929933240484917,0.0038028456477028523,0.0037712915736564344,303,3611.917252637,3611.24771138
2,2000,0.12944776532091753,0.0040740649842525845,0.004062556589273122,302,3609.791986858,3609.122559336
3,2000,0.1292050895145928,0.0038810753792160382,0.0038990618577008675,302,3608.26279816,3607.491233302
4,2000,0.12917721811947816,0.004202734390496007,0.00417593860971948,305,3615.158166513,3614.388288406
5,2000,0.12929260833035783,0.0041985072142980626,0.00429474581440711,299,3603.730416454,3602.971541381
1,2500,0.12165209333534778,0.005237377887275869,0.005234928491326216,253,3610.257471483,3609.34493526
2,2500,0.12190969888098471,0.005783504630448775,0.005788840176585194,255,3609.985191292,3609.253961224
3,2500,0.1217566213420771,0.005705337602490729,0.005868253420646754,251,3619.625673111,3618.81337189
4,2500,0.12138720912937877,0.0056530424147669955,0.0056902294818187114,251,3615.927850336,3615.135164962
5,2500,0.121693999692129,0.005211698175488895,0.005277485906252384,253,3613.659550481,3612.834692492
1,3000,0.11095661354773,0.006229047332726629,0.006137713701713933,232,3607.594473811,3606.476557303
2,3000,0.11094818957318854,0.005953125474263916,0.005969067800264134,236,3613.112312781,3612.204195953
3,3000,0.11078788385000132,0.0062188857822190365,0.006978545922187843,234,3606.503272774,3605.686055108
4,3000,0.11059461772747087,0.006023546122229679,0.005913291131214055,235,3608.440771273,3607.489883312
5,3000,0.11069899788713422,0.0061270038821544665,0.006093925260800652,231,3621.726130077,3620.874493675
1,3500,0.1061503496718943,0.006658818401794102,0.006860567254366828,214,3608.294806843,3607.25256858
2,3500,0.10632267489420964,0.006842759497092964,0.0068243526679052854,212,3607.987161589,3606.634602961
3,3500,0.10624475716873825,0.006754577054722741,0.0067378897029788665,211,3613.542186314,3612.499765841
4,3500,0.10611756617841163,0.007355021598749081,0.007395983252878543,210,3611.533307202,3610.655481481
5,3500,0.10631416061080123,0.007398758093002462,0.007543364743541309,207,3604.670557133,3603.798254704
1,4000,0.10514815035970623,0.030619683528467587,0.032014910468868965,49,3616.362376436,3613.412635619
2,4000,0.10452867466579506,0.02549806538739602,0.026804824438443297,54,3641.612670228,3638.8544566
3,4000,0.10451640354464932,0.02634348622358332,0.02689882978186651,55,3662.290408151,3659.556325319
4,4000,0.10467779629961607,0.026424713802809766,0.026341840944591736,52,3665.449304626,3662.492840169
5,4000,0.10572246265985769,0.03396933305797145,0.03404212214428807,50,3657.642193828,3654.572238141
1,4500,0.0991216143742751,0.020177579044761695,0.020461630064798113,74,3654.294409592,3651.924254107
2,4500,0.09905169576215839,0.018988709665539276,0.01898873867945803,77,3640.419028782,3638.424841401
3,4500,0.09886407308806144,0.017676761692811016,0.018055362810783643,78,3639.458263523,3637.312295747
4,4500,0.09871029147812005,0.017231357640597078,0.017449311142753422,79,3632.267751845,3630.236976183
5,4500,0.09899225153369201,0.01919836505541403,0.019522573213249877,75,3646.377052373,3644.211312059
1,5000,0.09435848737870219,0.021619596137086576,0.022897231088949414,64,3618.648731898,3616.146511367
2,5000,0.09417498609512391,0.020978098202329466,0.021590376070562134,67,3616.330491003,3613.905500312
3,5000,0.09435836642708927,0.02115406941721603,0.021523237336463347,67,3638.087421206,3635.358895712
4,5000,0.09396112384926264,0.02086350036702946,0.021179735422553938,69,3648.17063254,3645.556522522
5,5000,0.09403814079923872,0.02159838074975154,0.021404530309929087,66,3618.988529097,3616.392543421
