seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,average_iter,std_iter,time,fw_time
1,2500,6.138464229947976e-13,6.30298605945701e-8,6.304439723691484e-8,9183,0.15202003702493738,0.35905986240024923,0.544521396,0.543257328
2,2500,5.089718629504463e-13,5.704111763814774e-8,6.080935853709956e-8,9241,0.1520398225300292,0.3590789156690542,0.545411325,0.544025532
3,2500,7.398240768637605e-13,6.85800393950604e-8,7.195301275326652e-8,9081,0.15207576258121352,0.3591140855187799,0.549573061,0.548156225
4,2500,1.5703845226343469e-12,9.968249742710639e-8,9.99668818337845e-8,8781,0.15203279808677828,0.3590731257422551,0.522323154,0.520947285
5,2500,6.446526252866299e-13,6.37356070942855e-8,6.378711279564892e-8,9130,0.152026286966046,0.3590660335385898,0.557503306,0.556236938
1,10000,1.8350772609538624e-12,6.200403462150599e-8,6.200403462150599e-8,32570,0.15201572047038595,0.3590416400449166,7.3206184,7.317024771
2,10000,1.83952190985325e-12,6.56027136269948e-8,6.56027136269948e-8,32563,0.15201768933112217,0.35904354950400263,6.842562726,6.840790291
3,10000,1.833162574731693e-12,9.35583276805793e-8,9.35583276805793e-8,32509,0.1520241171403962,0.3590497885268272,6.819173344,6.817368814
4,10000,1.825188748682989e-12,5.4179904809580626e-8,5.4179904809580626e-8,32559,0.15200565145279193,0.359031882410405,6.816042385,6.814190043
5,10000,1.8419397020107686e-12,9.854491282683268e-8,9.854491282683268e-8,32524,0.15201549672539433,0.3590414309801167,6.907499154,6.905658062
1,22500,3.423866500798176e-5,0.00020866941136682307,0.00020870386781710553,12206,0.15205636572177617,0.3590902275152567,3600.598926154,3600.324654423
2,22500,4.621259670802122e-5,0.00024383535906406068,0.000243877695590194,10792,0.15205707931801335,0.35909284648581974,3600.531011626,3600.28650841
3,22500,3.111690981373387e-5,0.00019944644834799397,0.00019945148189641097,12593,0.1520686095449853,0.3591016397462818,3600.41089539,3600.234630556
4,22500,3.5378404346208946e-5,0.0002124838254002325,0.00021248883366562833,12021,0.1520672157058481,0.3591009676481892,3600.518953689,3600.310661039
5,22500,4.024809781639177e-5,0.00022646029366096213,0.00022651378045334775,11463,0.1520544360115153,0.3590893110534672,3600.682905911,3600.394483843
1,40000,6.921456932892375e-5,0.00024196976530039635,0.00024197568854905316,11718,0.15207373271889402,0.35910766865005106,3600.438348609,3600.25092746
2,40000,6.786694537227369e-5,0.00023963445955811673,0.0002396599346862385,11823,0.1520764611350757,0.3591101762228677,3600.622505104,3600.393740599
3,40000,7.278982029902415e-5,0.00025028306324283953,0.00025032125135579443,11347,0.15202256102934697,0.35905857994317647,3600.546328865,3600.297310482
4,40000,7.149524600576125e-5,0.00024711040134866295,0.00024714304216675545,11483,0.1520508577897762,0.3590858162565053,3600.691196627,3600.357598441
5,40000,6.645110779195322e-5,0.00023581586763824318,0.0002358212996197452,11995,0.1520633597332222,0.3590972636249429,3600.550243389,3600.301131711
1,62500,8.627261608843521e-5,0.0002454757830939961,0.00024550625975946973,11827,0.15202502747949606,0.35906032828274614,3600.661563738,3600.364539085
2,62500,7.861375357522e-5,0.00022972226080674224,0.000229725676057566,12609,0.15203426124197003,0.3590683359641504,3600.621432521,3600.340231663
3,62500,8.683551386892223e-5,0.0002467663421933066,0.0002467975637569659,11767,0.1520353531061443,0.3590704130921159,3600.873599483,3600.484353131
4,62500,9.328396115313318e-5,0.0002600891513670358,0.0002601163403337363,11178,0.1520844516013598,0.35911879468280977,3600.642799692,3600.484381347
5,62500,0.00010903028074445465,0.00029306120208559235,0.00029310381497442086,9952,0.1520297427652733,0.359067758550169,3600.813224839,3600.416233113
1,90000,8.500227050051921e-5,0.0002226891392876116,0.0002227140510543689,13123,0.1520231654347329,0.35905702433939163,3600.397151015,3600.13036919
2,90000,8.711293189975863e-5,0.00022705535297618565,0.0002270808075553357,12873,0.15202361531888448,0.3590577260750786,3600.668224587,3600.22416919
3,90000,9.474918553017904e-5,0.00024272037826959342,0.00024272406906571218,12063,0.15203514880212218,0.359069840672525,3600.867126359,3600.412231887
4,90000,9.55256939612336e-5,0.00024428787220465777,0.0002443149938655663,11983,0.15204873570892097,0.35908310734215365,3600.611115062,3600.334590186
5,90000,8.924335083058615e-5,0.00023142132724248164,0.00023144910672287826,12637,0.1520139273561763,0.3590485965847296,3600.655537737,3600.310717582
