seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,10000,1.455919745285899e-12,5.802284171483464e-8,5.802284171483464e-8,23182,0,0,2.5704671929597516,0.49502014671702826,Inf,Inf,6.654569191,6.629088568
2,10000,1.2871570625206693e-12,6.095279911823126e-8,6.095279911823126e-8,23889,0,0,2.554085733422639,0.497076530245849,Inf,Inf,5.008423994,5.005703649
3,10000,1.277859745850448e-12,9.800906009430075e-8,9.800906009430075e-8,23900,0,0,2.555504414410645,0.49692010645106915,Inf,Inf,4.547717814,4.545542632
4,10000,1.2794933698322513e-12,4.572018253555077e-8,4.572018253555077e-8,23249,0,0,2.5683499655884376,0.495316903931034,Inf,Inf,4.429397788,4.42629436
5,10000,1.217375311611216e-12,9.388701159008356e-8,9.388701159008356e-8,23787,0,0,2.5583956949466073,0.49658867311667576,Inf,Inf,4.574300095,4.571320497
1,40000,5.7816365212617936e-5,0.00021588457320147642,0.0002159092686894268,8819,0,0,3.0,0.0,Inf,Inf,3602.771545317,3602.219967972
2,40000,5.836802063658189e-5,0.00021782079995681794,0.00021784666493545997,8746,0,0,3.0,0.0,Inf,Inf,3600.520029528,3600.451988935
3,40000,5.924427660243882e-5,0.0002195836398989067,0.00021961314209503063,8681,0,0,3.0,0.0,Inf,Inf,3600.411986943,3600.2599914
4,40000,5.024492772657377e-5,0.00019803791410632997,0.0001980587848712614,9523,0,0,3.0,0.0,Inf,Inf,3600.628002496,3600.387995746
5,40000,5.2312315718037634e-5,0.00020305144298852015,0.0002030768014030385,9315,0,0,3.0,0.0,Inf,Inf,3600.379964575,3600.235998031
1,90000,0.00021934625540466872,0.0004949394586840644,0.0004950624501041442,4032,0,0,3.0,0.0,Inf,Inf,3603.1335034,3602.76398752
2,90000,0.0002306291718146232,0.0005176951116866524,0.0005178294610285186,3855,0,0,3.0,0.0,Inf,Inf,3601.644123659,3601.111953987
3,90000,0.00026485892447433446,0.00058635247550145,0.0005865248393375243,3405,0,0,3.0,0.0,Inf,Inf,3601.180716049,3600.539927737
4,90000,0.0002328613030162139,0.0005220643672390901,0.0005222010449847111,3823,0,0,3.0,0.0,Inf,Inf,3601.086205634,3600.811984286
5,90000,0.00019656997952526302,0.0004490775743139274,0.000449178741354317,4442,0,0,3.0,0.0,Inf,Inf,3601.483528289,3601.139954626
1,160000,0.00011181767037739349,0.0002551421296592807,0.0002551751266670782,7819,0,0,3.0,0.0,Inf,Inf,3603.165844749,3602.759987281
2,160000,0.00010205184270878024,0.00023542934704845397,0.00023545778768951974,8470,0,0,3.0,0.0,Inf,Inf,3600.655047668,3600.291951611
3,160000,9.873697208755264e-5,0.00022870312584779374,0.00022872944102344422,8718,0,0,3.0,0.0,Inf,Inf,3600.797833202,3600.655987708
4,160000,9.606114988674417e-5,0.00022337598039426221,0.0002234010638595105,8925,0,0,3.0,0.0,Inf,Inf,3600.593843488,3600.379993949
5,160000,9.879984126218371e-5,0.00022889946953056636,0.00022892578310930496,8711,0,0,3.0,0.0,Inf,Inf,3600.402864252,3600.254844445
1,250000,0.00013251350570858944,0.00028569881374919013,0.0002857396651029347,6994,0,0,3.0,0.0,Inf,Inf,3602.941591112,3602.548005497
2,250000,0.0001424000228086393,0.00030550634323508357,0.0003055530513597201,6541,0,0,3.0,0.0,Inf,Inf,3600.92197882,3600.624156588
3,250000,0.0001408906428822696,0.00030245521547365696,0.00030250105235915997,6607,0,0,3.0,0.0,Inf,Inf,3600.633519227,3600.319971263
4,250000,0.00013940302447841194,0.00029950242429377307,0.0002995473951417791,6672,0,0,3.0,0.0,Inf,Inf,3601.027083548,3600.70795906
5,250000,0.00014187228557572163,0.0003044392722088042,0.0003044856848390401,6564,0,0,3.0,0.0,Inf,Inf,3601.060838996,3600.658769487
1,360000,0.00021798489349232118,0.000450587311473033,0.00045068895479817366,4437,0,0,3.0,0.0,Inf,Inf,3602.554919457,3602.286525971
2,360000,0.00015743517704317297,0.00032939626157802105,0.00032945053683777444,6069,0,0,3.0,0.0,Inf,Inf,3600.973905756,3600.567993353
3,360000,0.00015861132522278153,0.0003317479345622104,0.00033180299784017135,6026,0,0,3.0,0.0,Inf,Inf,3601.416959212,3601.083988003
4,360000,0.0001596311536990801,0.00033379803448738935,0.00033385379051174835,5989,0,0,3.0,0.0,Inf,Inf,3601.201362368,3600.814561681
5,360000,0.000158551825637749,0.00033163990014841376,0.0003316949392084352,6028,0,0,3.0,0.0,Inf,Inf,3601.282362728,3600.963997188
1,490000,0.0002812022956884765,0.0005732035206048413,0.0005733678725552772,3488,0,0,3.0,0.0,Inf,Inf,3603.721272637,3603.005537839
2,490000,0.00026485776688620614,0.0005405100168002114,0.0005406561884795804,3699,0,0,3.0,0.0,Inf,Inf,3601.269849145,3600.9319928
3,490000,0.000264642946265534,0.0005400724234829624,0.0005402183414493341,3702,0,0,3.0,0.0,Inf,Inf,3600.79617249,3600.51092947
4,490000,0.00026325635692047344,0.0005373157519500266,0.0005374601821438094,3721,0,0,3.0,0.0,Inf,Inf,3601.154740219,3600.958940476
5,490000,0.0002608319193969963,0.0005324514050619079,0.0005325932234685901,3755,0,0,3.0,0.0,Inf,Inf,3601.765162181,3601.395981093
1,640000,0.00030468501480226907,0.0006176511647491428,0.0006178419751610266,3237,0,0,3.0,0.0,Inf,Inf,3603.220419239,3602.907983326
2,640000,0.00031001508270323783,0.0006283234663191,0.0006285209349718313,3182,0,0,3.0,0.0,Inf,Inf,3600.958360968,3600.593360117
3,640000,0.0003000809065094323,0.0006084416196962557,0.000608626792107377,3286,0,0,3.0,0.0,Inf,Inf,3601.188551039,3600.703530913
4,640000,0.000300170636064338,0.0006086273514174814,0.0006088126293259837,3285,0,0,3.0,0.0,Inf,Inf,3600.944054856,3600.573552045
5,640000,0.00030137967544645626,0.0006110453008344666,0.0006112320690649439,3272,0,0,3.0,0.0,Inf,Inf,3601.716375026,3601.20949765
1,810000,0.0003495766943708146,0.0007057094423096903,0.0007059585510814391,2833,0,0,3.0,0.0,Inf,Inf,3603.838432848,3603.43198539
2,810000,0.00035258569285366863,0.0007117357233408124,0.0007119891062525625,2809,0,0,3.0,0.0,Inf,Inf,3601.84252624,3601.453812248
3,810000,0.00034796530559859536,0.0007024857462429494,0.0007027325861772706,2846,0,0,3.0,0.0,Inf,Inf,3601.395500825,3601.122935805
4,810000,0.000353606021921971,0.0007137680519793583,0.0007140228827669695,2801,0,0,3.0,0.0,Inf,Inf,3601.695837527,3601.286971974
5,810000,0.000352461042194048,0.0007114831112938991,0.0007117363131140747,2810,0,0,3.0,0.0,Inf,Inf,3601.875748347,3601.562960617
1,1000000,0.0003524531045427905,0.0007102230422027879,0.0007104753469333435,2815,0,0,3.0,0.0,Inf,Inf,3602.280262147,3601.914483366
2,1000000,0.00035282783147247844,0.0007109792282160427,0.0007112320740065849,2812,0,0,3.0,0.0,Inf,Inf,3601.727392469,3601.246835366
3,1000000,0.0003511957506853652,0.0007077088561654993,0.0007079593756966532,2825,0,0,3.0,0.0,Inf,Inf,3601.79516879,3601.432327855
4,1000000,0.0003535937781841575,0.0007124994263793212,0.0007127533521499564,2806,0,0,3.0,0.0,Inf,Inf,3601.354292568,3600.886769459
5,1000000,0.0003530831758083098,0.000711485902220858,0.000711739101219297,2810,0,0,3.0,0.0,Inf,Inf,3602.374264349,3601.998789515
