seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,10000,1.455919745285899e-12,5.802284171483464e-8,5.802284171483464e-8,23182,0,0,2.5704671929597516,0.49502014671702826,Inf,Inf,6.471622816,6.446362294
2,10000,1.2871570625206693e-12,6.095279911823126e-8,6.095279911823126e-8,23889,0,0,2.554085733422639,0.497076530245849,Inf,Inf,5.206977233,5.205321214
3,10000,1.277859745850448e-12,9.800906009430075e-8,9.800906009430075e-8,23900,0,0,2.555504414410645,0.49692010645106915,Inf,Inf,4.466728711,4.465511229
4,10000,1.2794933698322513e-12,4.572018253555077e-8,4.572018253555077e-8,23249,0,0,2.5683499655884376,0.495316903931034,Inf,Inf,4.64828457,4.645006605
5,10000,1.217375311611216e-12,9.388701159008356e-8,9.388701159008356e-8,23787,0,0,2.5583956949466073,0.49658867311667576,Inf,Inf,4.540049479,4.53846525
1,40000,6.234795562565176e-5,0.00022629574009284367,0.0002263248889780225,8448,0,0,3.0,0.0,Inf,Inf,3602.432067157,3601.991996725
2,40000,5.908519478555792e-5,0.00021950097604687892,0.00021952819046537609,8686,0,0,3.0,0.0,Inf,Inf,3600.623400989,3600.551964233
3,40000,6.06136393371436e-5,0.00022273061454491965,0.00022276040731405584,8569,0,0,3.0,0.0,Inf,Inf,3600.655520699,3600.519983852
4,40000,6.563548339105439e-5,0.00023376477689225075,0.00023379495070678053,8195,0,0,3.0,0.0,Inf,Inf,3600.806635804,3600.619985715
5,40000,6.527903924959603e-5,0.00023306573732661336,0.00023309595973312642,8220,0,0,3.0,0.0,Inf,Inf,3600.508030203,3600.327997438
1,90000,8.116014568627804e-5,0.00021474621607380092,0.00021477010908857948,9216,0,0,3.0,0.0,Inf,Inf,3602.727607612,3602.179997008
2,90000,8.739895149543431e-5,0.0002276170531898282,0.00022764369045668692,8703,0,0,3.0,0.0,Inf,Inf,3600.784995853,3600.459976099
3,90000,7.928946721370363e-5,0.00021091159893834856,0.0002109343133134581,9381,0,0,3.0,0.0,Inf,Inf,3600.501931123,3600.282656298
4,90000,7.995411300054848e-5,0.00021221444625009998,0.00021223770041962103,9322,0,0,3.0,0.0,Inf,Inf,3600.636794888,3600.495990353
5,90000,8.559724341109163e-5,0.00022390576739830453,0.0002239314418595923,8846,0,0,3.0,0.0,Inf,Inf,3600.559613823,3600.487997674
1,160000,9.389535793358043e-5,0.00021898529307588487,0.00021900967827934406,9102,0,0,3.0,0.0,Inf,Inf,3602.829327448,3602.423984295
2,160000,9.233429480927722e-5,0.00021581534302154106,0.00021583873729440087,9235,0,0,3.0,0.0,Inf,Inf,3600.414884833,3600.271992562
3,160000,9.22408018411107e-5,0.0002155897874634582,0.0002156131209977677,9245,0,0,3.0,0.0,Inf,Inf,3600.409354669,3600.275977955
4,160000,9.47301261275917e-5,0.00022069087979154916,0.00022071545083284758,9033,0,0,3.0,0.0,Inf,Inf,3600.914832198,3600.491981385
5,160000,9.393563450400583e-5,0.00021907547592569287,0.00021909973874301627,9099,0,0,3.0,0.0,Inf,Inf,3600.553731661,3600.207975226
1,250000,0.00013508957573057296,0.00029086301566569914,0.0002909053820200768,6870,0,0,3.0,0.0,Inf,Inf,3602.532982525,3602.228002812
2,250000,0.0001368899636766052,0.0002944617500396424,0.00029450514344580886,6786,0,0,3.0,0.0,Inf,Inf,3600.594004926,3600.390833086
3,250000,0.00013760204529454477,0.0002958640904891951,0.0002959079179830906,6754,0,0,3.0,0.0,Inf,Inf,3601.292872315,3601.003938852
4,250000,0.00013481650057535767,0.0002903088133179856,0.0002903509941925771,6883,0,0,3.0,0.0,Inf,Inf,3600.964717037,3600.762702522
5,250000,0.0001350982678880705,0.0002908606614991347,0.0002909030812277644,6870,0,0,3.0,0.0,Inf,Inf,3600.812974916,3600.611984187
1,360000,0.00015907123071742804,0.0003326871496175887,0.0003327425360739371,6009,0,0,3.0,0.0,Inf,Inf,3602.567040917,3602.239954273
2,360000,0.00015847244234960827,0.00033147252526604103,0.00033152750587931893,6031,0,0,3.0,0.0,Inf,Inf,3601.737860839,3601.423943473
3,360000,0.00016140919312390134,0.0003373484296682318,0.000337405393961346,5926,0,0,3.0,0.0,Inf,Inf,3601.200560528,3600.92268223
4,360000,0.0001570262371936559,0.0003285837088088168,0.0003286378460846345,6084,0,0,3.0,0.0,Inf,Inf,3601.404980847,3600.992003931
5,360000,0.00018737753951344823,0.0003893308995358259,0.00038940675697471334,5135,0,0,3.0,0.0,Inf,Inf,3601.585016486,3601.199998745
1,490000,0.00028887728331959933,0.000588555543286247,0.0005887288268864135,3397,0,0,3.0,0.0,Inf,Inf,3602.935815847,3602.619974619
2,490000,0.0002536561831139363,0.0005181026420672331,0.0005182369016548194,3859,0,0,3.0,0.0,Inf,Inf,3601.607817276,3601.308423337
3,490000,0.00025893275903726465,0.0005286500589191894,0.0005287898866407367,3782,0,0,3.0,0.0,Inf,Inf,3601.79491865,3601.490898375
4,490000,0.00025629598606586755,0.0005233926097955083,0.0005235296297241986,3820,0,0,3.0,0.0,Inf,Inf,3601.424151973,3600.997431635
5,490000,0.0002515296337825617,0.0005138433567096313,0.000513975418498053,3891,0,0,3.0,0.0,Inf,Inf,3601.098918656,3600.712439055
1,640000,0.00029860775571009373,0.0006054957516714754,0.0006056791360891338,3302,0,0,3.0,0.0,Inf,Inf,3602.334614308,3601.978946245
2,640000,0.00029961326808292284,0.0006075181897422666,0.0006077028034187447,3291,0,0,3.0,0.0,Inf,Inf,3601.609234838,3601.267968458
3,640000,0.0002998035087969136,0.0006078867750223529,0.0006080716099585799,3289,0,0,3.0,0.0,Inf,Inf,3601.272835807,3600.902872185
4,640000,0.00029578950977623335,0.0005998643325557849,0.0006000443131330374,3333,0,0,3.0,0.0,Inf,Inf,3601.441658121,3600.934790732
5,640000,0.0002987882117224163,0.000605861973313263,0.0006060455804095671,3300,0,0,3.0,0.0,Inf,Inf,3601.564310727,3601.215992748
1,810000,0.0003546282534067318,0.0007158128708109278,0.0007160691682110847,2793,0,0,3.0,0.0,Inf,Inf,3602.753912112,3602.357986325
2,810000,0.0003599537451547136,0.0007264722842448521,0.0007267362681888317,2752,0,0,3.0,0.0,Inf,Inf,3601.390753236,3601.019997379
3,810000,0.0003561718247502815,0.0007188993492885055,0.0007191578663225363,2781,0,0,3.0,0.0,Inf,Inf,3601.840365552,3601.450841537
4,810000,0.0003474723432414149,0.0007015002458033889,0.0007017463888329756,2850,0,0,3.0,0.0,Inf,Inf,3602.685767779,3602.274872505
5,810000,0.00035007269675246794,0.0007067062313666027,0.0007069560553399038,2829,0,0,3.0,0.0,Inf,Inf,3602.151615791,3601.894820527
1,1000000,0.0003809218250301644,0.0007671616533116804,0.0007674560398737302,2606,0,0,3.0,0.0,Inf,Inf,3602.126926149,3601.778479359
2,1000000,0.0003768417729774,0.0007590082012256794,0.0007592963598920757,2634,0,0,3.0,0.0,Inf,Inf,3602.384951839,3602.046772006
3,1000000,0.0003772775645523488,0.0007598736113912726,0.0007601624349644596,2631,0,0,3.0,0.0,Inf,Inf,3601.181553724,3600.818812011
4,1000000,0.00037103339837736,0.0007473794680449216,0.0007476588642695659,2675,0,0,3.0,0.0,Inf,Inf,3601.36828107,3600.917360081
5,1000000,0.00037483856860633715,0.0007549976599629625,0.0007552827915997859,2648,0,0,3.0,0.0,Inf,Inf,3601.601839907,3601.290755875
