seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,10000,1.455919745285899e-12,5.802284171483464e-8,0.0,0,0,0,NaN,NaN,Inf,Inf,1.872474375,1.858015467
2,10000,1.2871570625206693e-12,6.095279911823126e-8,0.0,0,0,0,NaN,NaN,Inf,Inf,0.004132799,0.003883312
3,10000,1.277859745850448e-12,9.800906009430075e-8,0.0,0,0,0,NaN,NaN,Inf,Inf,0.002212019,0.001922439
4,10000,1.2794933698322513e-12,4.572018253555077e-8,0.0,0,0,0,NaN,NaN,Inf,Inf,0.004053539,0.003808744
5,10000,1.217375311611216e-12,9.388701159008356e-8,0.0,0,0,0,NaN,NaN,Inf,Inf,0.002620336,0.002387914
1,40000,5.47287495948069e-5,0.00020873991094476037,0.0002087638172340916,9069,0,0,3.0,0.0,Inf,Inf,3602.584389953,3602.135981197
2,40000,5.324578248795867e-5,0.00020580930395790566,0.00020583318257962372,9180,0,0,3.0,0.0,Inf,Inf,3600.412357538,3600.339994512
3,40000,5.4591184145463614e-5,0.0002087459499022416,0.00020877282567326896,9061,0,0,3.0,0.0,Inf,Inf,3600.492371479,3600.427999218
4,40000,5.1096849925680345e-5,0.00020007458202034377,0.00020009759876228475,9420,0,0,3.0,0.0,Inf,Inf,3600.584351128,3600.503998968
5,40000,6.096057696905443e-5,0.00022320865200014313,0.00022323663546617355,8525,0,0,3.0,0.0,Inf,Inf,3600.436364784,3600.307998715
1,90000,7.802905074399452e-5,0.00020828003337876577,0.00020830331583481911,9475,0,0,3.0,0.0,Inf,Inf,3602.404363165,3601.967953323
2,90000,7.763271922021671e-5,0.0002075139137664303,0.00020753595662367116,9506,0,0,3.0,0.0,Inf,Inf,3600.352365077,3600.28796707
3,90000,8.0870532300835e-5,0.00021418081422795902,0.00021420485898120427,9217,0,0,3.0,0.0,Inf,Inf,3600.628382242,3600.483988025
4,90000,7.669462435240491e-5,0.00020547433839902324,0.00020549627398425184,9595,0,0,3.0,0.0,Inf,Inf,3600.304398815,3600.167992551
5,90000,7.856345044234995e-5,0.00020940881764960876,0.00020943102820156743,9420,0,0,3.0,0.0,Inf,Inf,3600.632383352,3600.491985616
1,160000,9.680047231387368e-5,0.00022485283214329868,0.00022487840622252014,8843,0,0,3.0,0.0,Inf,Inf,3602.580391708,3602.187984113
2,160000,8.530727725697748e-5,0.00020160861505367171,0.00020162905077913498,9860,0,0,3.0,0.0,Inf,Inf,3600.488370619,3600.351990045
3,160000,8.608700335528303e-5,0.00020315523890265374,0.00020317597817158954,9781,0,0,3.0,0.0,Inf,Inf,3600.452354785,3600.315996258
4,160000,8.886515696552188e-5,0.0002088434377370386,0.00020886548262719326,9515,0,0,3.0,0.0,Inf,Inf,3600.372346714,3600.2269562
5,160000,9.489187175096086e-5,0.0002210059758464148,0.00022103058317013416,8994,0,0,3.0,0.0,Inf,Inf,3600.476367602,3600.339996165
