seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,average_iter,std_iter,time,fw_time
1,10000,1.2366628912801572,1.2156132752488835e-7,9.938850369095587e-8,2076,0.15221579961464354,0.3593164912413049,3.653729693,3.610737845
2,10000,1.145384782870786,1.357421559877725e-8,1.3574215522449418e-8,4,0.0,0.0,0.008417514,0.004786061
3,10000,1.1516198141321006,1.9457946344447752e-8,1.9457946344447752e-8,28,0.14814814814814814,0.3620139928982457,0.019490504,0.016834007
4,10000,0.8282948031662449,8.843350839810027e-8,8.843350830095575e-8,45,0.1590909090909091,0.36998942902446835,0.039412444,0.036193506
5,10000,0.8882113909764907,1.9273993484558716e-7,9.627886281282638e-8,21,0.14285714285714285,0.3585685828003181,0.038961568,0.035687791
1,40000,0.9719551071657536,4.9645028983580364e-8,4.964502902174428e-8,6,0.0,0.0,6.503493857,6.081287858
2,40000,0.8815985179399917,4.7846460869693797e-8,4.784646085234656e-8,32,0.16129032258064516,0.373878250552983,8.376462212,8.237353901
3,40000,0.9154352480092317,9.29288968935793e-8,9.292889699072382e-8,296,0.14915254237288136,0.3568441042625137,91.003438748,90.785142728
4,40000,0.8999787113874773,2.2602638368590666e-7,9.68738845495698e-8,1567,0.15188257817485643,0.35902161145705563,396.471506794,396.32534403
5,40000,0.9841335874579322,2.8057120179253436e-8,2.8057120172314542e-8,26,0.16,0.37416573867739406,7.291707901,7.136881775
1,90000,0.9879848884614971,1.1329492483405645e-7,9.969807796689212e-8,1031,0.15227934044616878,0.35946581666337546,302.74044843,302.350203912
2,90000,0.8570335135539614,8.60912196982977e-8,8.609121970870603e-8,22,0.14285714285714285,0.35856858280031806,9.775542089,9.264366994
3,90000,0.9517978442658163,2.7996835186977487e-8,2.7996835180038593e-8,5,0.0,0.0,3.630603501,3.360906856
4,90000,1.004702497698882,9.143158642699323e-8,9.04742289975502e-8,436,0.1536697247706422,0.3610461442166599,121.48651244,121.257820568
5,90000,1.0558752133188722,1.4979530758157944e-8,1.497953075121905e-8,4,0.0,0.0,2.023130349,1.687002209
1,160000,0.9192244072771312,6.526800732861715e-8,5.4711171169896655e-8,13,0.15384615384615385,0.37553380809940534,10.633176572,10.117596495
2,160000,0.969351229863635,7.682815813397914e-8,7.599133843190498e-8,19,0.15789473684210525,0.37463432463267754,9.053409317,8.638116495
3,160000,1.0219146345127392,3.2119103139313654e-8,3.211910318094702e-8,3,0.0,0.0,2.421671365,2.041205871
4,160000,0.9722195056975058,8.672686836221077e-8,7.879689128097167e-8,15,0.2,0.4140393356054126,6.270568446,5.879518411
5,160000,1.1076126582942654,1.345801037139216e-7,9.63379726808683e-8,182,0.15384615384615385,0.36179652787417743,73.585971722,73.209516698
1,250000,0.8644950267809028,3.450058347169438e-8,3.4500583480368e-8,5,0.0,0.0,7.676343765,7.235508256
2,250000,0.9139232810105905,8.051132985124887e-8,8.051132984951415e-8,13,0.16666666666666666,0.38924947208076144,13.352972033,12.843778159
3,250000,1.076520034246277,7.251615620831875e-8,7.888978249652456e-8,13,0.15384615384615385,0.37553380809940534,12.956044262,12.436858032
4,250000,0.9260927972624362,3.35798921481667e-8,6.819104197974823e-8,12,0.3333333333333333,0.6513389472789296,12.240322903,11.827948344
5,250000,1.0678900455965075,2.2027860160922508e-9,2.2027860265005916e-9,3,0.0,0.0,4.043748578,3.61962929
1,360000,0.9218505008219967,2.5353038539573103e-7,9.485146350816931e-8,27,0.14814814814814814,0.3620139928982457,28.538969573,28.020078497
2,360000,0.9371126360928145,3.450960341100373e-8,3.4509603412738454e-8,3,0.0,0.0,3.899535378,3.456641206
3,360000,0.894448444969065,5.33601810358969e-8,7.053576834767372e-8,26,0.15384615384615385,0.36794648440311994,22.456213313,22.019053248
4,360000,0.9543739339795614,7.519952564122301e-8,7.519952563254939e-8,21,0.15,0.3663475485325232,19.447482786,18.69677766
5,360000,1.018041794320598,7.95892194250386e-8,7.520569876573457e-8,48,0.14583333333333334,0.4120309497429765,43.103461611,42.349080205
1,490000,1.0809101305757844,2.4192604345177338e-8,2.4192604319156485e-8,33,0.15625,0.36890203262847354,343.353512071,336.520637995
2,490000,1.0028010900941218,3.782803084488584e-8,3.782803083621222e-8,3,0.0,0.0,27.988431125,23.182317291
3,490000,0.9871767918220119,3.2226102771645143e-7,4.1846924670688873e-7,414,0.15217391304347827,0.359623974583262,3636.584194854,3626.645026176
4,490000,0.9468205212219,6.504911824042545e-7,3.6394928602974386e-7,368,0.15217391304347827,0.35967840945447105,3632.476623116,3623.997025781
5,490000,0.9716240579917385,1.9412809719107638e-9,1.941280960635061e-9,3,0.0,0.0,44.73959276,38.338745424
1,640000,0.9643446787056092,2.1209378321587063e-7,7.203598791083454e-8,15,0.2,0.4140393356054126,177.988569465,168.947232014
2,640000,1.0051529074863155,2.754784649700026e-8,2.7547846504806517e-8,3,0.0,0.0,30.886550113,24.570304011
3,640000,0.9727411620374073,1.325581757260358e-7,2.7284479241912463e-8,13,0.15384615384615385,0.37553380809940534,116.292017039,109.498240164
4,640000,1.006972516370968,5.9358178824443775e-8,8.647727264658733e-8,9,0.2222222222222222,0.44095855184409843,92.372236445,85.165990791
5,640000,1.0100714332769072,1.3160560947446387e-7,6.948915193347865e-8,17,0.17647058823529413,0.3929526239966879,168.672986595,161.944483111
1,810000,1.044147608560996,8.166507510596471e-8,9.125115210673052e-8,50,0.16,0.3703280399090206,519.790395015,513.918757572
2,810000,1.0274142175135952,1.8221856377953483e-8,8.819480730708901e-8,25,0.16,0.37416573867739406,320.187138828,306.667446639
3,810000,0.9251184886648885,2.3121348081966975e-7,8.494633600177048e-8,49,0.14285714285714285,0.35355339059327373,496.410528428,487.526482529
4,810000,0.9958895490049691,5.3471928986199846e-8,5.3471928986199846e-8,26,0.16,0.37416573867739406,339.215924387,330.917285092
5,810000,0.8997991336966521,3.3713007118341826e-7,9.780515880953439e-8,181,0.15469613259668508,0.3626178604359999,2491.111559305,2478.913803855
1,1000000,1.0518261215049587,9.991627717038931e-8,7.502119726658651e-8,23,0.17391304347826086,0.3875533878815898,403.705789507,392.832507981
2,1000000,0.9692773193607185,1.6618821175370252e-7,3.731684516880551e-7,343,0.15160349854227406,0.35916007473822875,3635.206559975,3626.375767288
3,1000000,0.995247147410895,6.933729250480081e-8,8.170530729680742e-8,8,0.25,0.4629100498862757,90.530740693,82.565326593
4,1000000,0.9749707845656544,6.747387442437164e-8,6.747387442610636e-8,19,0.16666666666666666,0.38348249442368526,164.871858877,158.049305181
5,1000000,1.0241598503723692,4.962618924131412e-8,7.537299461738561e-8,37,0.05405405405405406,0.22924343513512563,330.227790827,323.063126131
