time termination
0.003565373 1.0
0.003919273 2.0
0.005234539 3.0
0.113712252 4.0
0.456591634 5.0
0.504431996 6.0
0.576369086 7.0
0.604330523 8.0
1.216520633 9.0
1.338335676 10.0
1.447548458 11.0
1.67634611 12.0
2.255295482 13.0
3.656436556 14.0
4.264117135 15.0
6.696451883 16.0
7.424598129 17.0
8.011884929 18.0
9.164701757 19.0
9.281178232 20.0
9.96877296 21.0
10.304612905 22.0
10.987057261 23.0
11.497554357 24.0
16.252318185 25.0
17.403223938 26.0
17.432583774 27.0
17.647366011 28.0
19.072128533 29.0
20.348211615 30.0
21.528849645 31.0
21.541311453 32.0
21.913705176 33.0
22.608831061 34.0
25.209259338 35.0
25.291735993 36.0
26.617491037 37.0
26.706056116 38.0
30.276642403 39.0
32.595340967 40.0
32.686397876 41.0
34.476611416 42.0
36.217562134 43.0
36.420030305 44.0
36.42011089 45.0
49.467475273 46.0
50.804816719 47.0
51.102998302 48.0
59.979214567 49.0
76.620459436 50.0
