time termination
0.003174259 1.0
0.00319058 2.0
0.003485494 3.0
0.003897137 4.0
0.408308374 5.0
0.436563183 6.0
0.576300801 7.0
0.608607502 8.0
0.936350357 9.0
1.128166303 10.0
1.840167075 11.0
1.868631548 12.0
2.066548698 13.0
3.768371809 14.0
3.900385456 15.0
4.171769449 16.0
4.319200685 17.0
5.172064511 18.0
6.076762506 19.0
6.692511068 20.0
7.600433923 21.0
7.628570709 22.0
7.679243007 23.0
9.656584865 24.0
10.665122846 25.0
10.979912105 26.0
12.136540819 27.0
13.477425616 28.0
14.536670836 29.0
15.787282208 30.0
16.115561129 31.0
17.705244181 32.0
18.045498252 33.0
18.33998052 34.0
18.871199162 35.0
19.512477107 36.0
21.951601257 37.0
22.096718281 38.0
22.35349687 39.0
22.620411491 40.0
22.89664363 41.0
23.336779791 42.0
27.970023402 43.0
29.884661924 44.0
30.568989788 45.0
31.539882579 46.0
34.316560378 47.0
34.385061214 48.0
44.421593786 49.0
58.748581036 50.0
