time termination
0.046935029 1.0
0.047244706 2.0
0.070061484 3.0
0.115939981 4.0
2.293678564 5.0
5.518933783 6.0
5.700280767 7.0
10.672692997 8.0
10.856598619 9.0
10.920607102 10.0
12.50860184 11.0
12.78064307 12.0
14.349567362 13.0
15.391777404 14.0
18.106867499 15.0
19.052298988 16.0
19.062859477 17.0
19.266017747 18.0
20.411568408 19.0
21.14393781 20.0
24.350519548 21.0
24.767005545 22.0
25.75367611 23.0
25.761904031 24.0
25.938820993 25.0
26.377667788 26.0
27.127637515 27.0
27.5695925 28.0
28.082614303 29.0
32.509842065 30.0
33.179131553 31.0
33.235052379 32.0
34.094044307 33.0
34.725755561 34.0
37.102846315 35.0
37.935420848 36.0
37.96617134 37.0
38.397839245 38.0
38.758264261 39.0
40.236480054 40.0
42.119476422 41.0
42.172867009 42.0
45.42226806 43.0
46.475811481 44.0
47.784452882 45.0
53.540865527 46.0
54.084447151 47.0
58.794396816 48.0
68.55066359 49.0
80.141863019 50.0
