time termination
0.033958232 1.0
0.038695721 2.0
0.041438996 3.0
0.052634182 4.0
2.216636846 5.0
4.332091728 6.0
6.049019144 7.0
7.612958116 8.0
7.908906607 9.0
8.153530975 10.0
8.700945387 11.0
10.726729963 12.0
11.050315423 13.0
11.360996989 14.0
12.258693824 15.0
13.1623848 16.0
13.326377246 17.0
13.376948068 18.0
13.853561046 19.0
14.141621597 20.0
14.967956603 21.0
15.714653171 22.0
15.937571039 23.0
17.638497603 24.0
18.58056015 25.0
19.286757286 26.0
19.871881087 27.0
20.378984799 28.0
22.752335816 29.0
29.341176498 30.0
29.375244192 31.0
29.63378754 32.0
29.854131756 33.0
31.265983135 34.0
31.79133375 35.0
32.050715537 36.0
33.540682368 37.0
34.494179767 38.0
34.678836134 39.0
36.744128094 40.0
37.533893102 41.0
37.789854418 42.0
38.646057593 43.0
39.731742383 44.0
41.297077202 45.0
49.168065733 46.0
50.376497642 47.0
52.830130572 48.0
56.967204864 49.0
71.416569787 50.0
