time termination
0.004548427 1.0
0.005512237 2.0
0.005718225 3.0
0.01924896 4.0
0.716456641 5.0
0.800479984 6.0
0.916453453 7.0
1.064450078 8.0
1.252469432 9.0
1.556418342 10.0
1.96466909 11.0
2.350874304 12.0
2.712426045 13.0
2.764218356 14.0
2.908222958 15.0
2.944448332 16.0
3.396588004 17.0
4.268099638 18.0
5.664457887 19.0
7.516219712 20.0
8.632389486 21.0
9.104495801 22.0
10.864492861 23.0
16.820527482 24.0
19.008385678 25.0
21.544452006 26.0
23.204432562 27.0
33.768478359 28.0
41.032447478 29.0
65.632583434 30.0
70.660504212 31.0
74.756427405 32.0
92.936530245 33.0
129.060690183 34.0
132.556435648 35.0
152.036437938 36.0
191.500461876 37.0
202.364452386 38.0
224.288504067 39.0
236.144486448 40.0
256.50445647 41.0
327.892524068 42.0
384.300506239 43.0
442.116537205 44.0
446.100515307 45.0
995.568242864 46.0
2409.444504584 47.0
3509.108529604 48.0
