time termination
0.004114546 1.0
0.004230609 2.0
0.004669079 3.0
0.018093463 4.0
0.340460705 5.0
0.448411334 6.0
0.827008433 7.0
1.068378332 8.0
1.08837742 9.0
1.130943807 10.0
1.15238467 11.0
1.228379672 12.0
1.302945723 13.0
1.460394603 14.0
1.740380234 15.0
1.97463079 16.0
2.428339951 17.0
2.928423022 18.0
3.208442484 19.0
3.300425646 20.0
3.772389169 21.0
8.524380138 22.0
15.416568586 23.0
16.079710728 24.0
19.432418989 25.0
19.456617707 26.0
22.11637984 27.0
25.864378036 28.0
31.968425006 29.0
63.992406169 30.0
69.632430366 31.0
79.704456379 32.0
87.356359896 33.0
104.312449533 34.0
119.512561279 35.0
121.924472731 36.0
178.263028936 37.0
293.584413559 38.0
294.352628291 39.0
303.580425528 40.0
361.648649871 41.0
375.952473544 42.0
406.564384499 43.0
414.724518063 44.0
485.344458123 45.0
520.936448223 46.0
2698.248714045 47.0
